payment_id,merchant_id,customer_id,invoice_id,gateway_id,payment_method_id,amount,currency,payment_status,payment_reference,initiated_at,completed_at,processing_time_ms
PAY0000034,MER000010,CUS000242,INV0000453,GTW005,PM018,4822,INR,Captured,TXN100000033,2025-07-18 22:27:00,2025-07-18 22:29:00,6987
PAY0000035,MER000006,CUS000231,INV0000566,GTW012,PM007,89499,INR,Captured,TXN100000034,2024-05-31 13:08:00,2024-05-31 13:14:00,2194
PAY0000036,MER000031,CUS000222,INV0000363,GTW006,PM006,54140,INR,Failed,TXN100000035,2025-07-27 13:39:00,2025-07-27 13:54:00,353
PAY0000037,MER000032,CUS000069,INV0000947,GTW006,PM004,50240,INR,Failed,TXN100000036,2024-12-06 13:51:00,2024-12-06 14:03:00,7294
PAY0000038,MER000045,CUS000079,INV0000482,GTW008,PM008,3201,INR,Authorized,TXN100000037,2024-08-15 06:52:00,,5556
PAY0000039,MER000066,CUS000103,INV0000337,GTW018,PM011,3717,INR,Captured,TXN100000038,2024-10-12 02:49:00,2024-10-12 03:00:00,1094
PAY0000040,MER000005,CUS000028,,GTW020,PM014,45409,INR,Settled,TXN100000039,2024-09-24 05:37:00,2024-09-24 05:42:00,6118
PAY0000041,MER000025,CUS000066,INV0000447,GTW002,PM014,321,INR,Captured,TXN100000040,2025-09-12 16:07:00,2025-09-12 16:17:00,4409
PAY0000042,MER000026,CUS000094,,GTW014,PM003,87162,INR,Authorized,TXN100000041,2025-07-05 21:46:00,,7692
PAY0000043,MER000065,CUS000080,INV0000322,GTW014,PM011,52843,INR,Authorized,TXN100000042,2025-11-10 03:46:00,,5861
PAY0000044,MER000023,CUS000158,INV0000131,GTW019,PM010,53325,INR,Authorized,TXN100000043,2024-07-15 13:42:00,,4638
PAY0000045,MER000042,CUS000120,INV0000312,GTW015,PM015,88655,INR,Pending,TXN100000044,2024-10-20 06:27:00,,1900
PAY0000046,MER000043,CUS000024,INV0000813,GTW008,PM010,29544,INR,Captured,TXN100000045,2024-06-22 21:05:00,2024-06-22 21:16:00,6757
PAY0000047,MER000010,CUS000117,INV0000026,GTW014,PM019,25585,INR,Captured,TXN100000046,2024-02-17 07:30:00,2024-02-17 07:43:00,6034
PAY0000048,MER000014,CUS000200,INV0000507,GTW014,PM008,23153,INR,Failed,TXN100000047,2025-02-13 07:09:00,2025-02-13 07:10:00,6737
PAY0000049,MER000016,CUS000117,,GTW005,PM015,87600,INR,Captured,TXN100000048,2025-06-14 14:03:00,2025-06-14 14:18:00,4501
PAY0000050,MER000065,CUS000110,,GTW018,PM015,20961,INR,Authorized,TXN100000049,2025-09-01 10:48:00,,6242
PAY0000051,MER000036,CUS000197,,GTW017,PM016,82249,INR,Captured,TXN100000050,2025-04-05 08:48:00,2025-04-05 08:59:00,2109
PAY0000052,MER000070,CUS000021,INV0000080,GTW005,PM005,30411,INR,Captured,TXN100000051,2024-10-19 07:17:00,2024-10-19 07:32:00,3287
PAY0000053,MER000060,CUS000107,INV0000724,GTW002,PM007,55169,INR,Captured,TXN100000052,2024-08-07 02:26:00,2024-08-07 02:35:00,3340
PAY0000054,MER000049,CUS000123,,GTW001,PM012,39239,INR,Authorized,TXN100000053,2025-08-21 22:01:00,,6322
PAY0000055,MER000029,CUS000125,INV0000914,GTW008,PM009,57225,INR,Failed,TXN100000054,2025-03-05 17:47:00,2025-03-05 18:00:00,4128
PAY0000056,MER000060,CUS000236,INV0000345,GTW005,PM020,70108,INR,Captured,TXN100000055,2025-11-15 21:51:00,2025-11-15 21:54:00,370
PAY0000057,MER000055,CUS000035,,GTW015,PM006,6690,INR,Captured,TXN100000056,2025-08-29 18:42:00,2025-08-29 18:53:00,2281
PAY0000058,MER000049,CUS000072,INV0000217,GTW014,PM009,10835,INR,Pending,TXN100000057,2025-04-10 10:21:00,,4002
PAY0000059,MER000006,CUS000194,INV0000553,GTW001,PM008,26230,INR,Failed,TXN100000058,2024-02-23 11:14:00,2024-02-23 11:27:00,7024
PAY0000060,MER000028,CUS000120,INV0000157,GTW009,PM012,22092,INR,Failed,TXN100000059,2024-09-01 04:30:00,2024-09-01 04:40:00,5113
PAY0000061,MER000040,CUS000148,INV0000766,GTW013,PM013,93818,INR,Captured,TXN100000060,2024-04-27 05:19:00,2024-04-27 05:20:00,1774
PAY0000062,MER000016,CUS000204,INV0000708,GTW019,PM002,45608,INR,Failed,TXN100000061,2025-10-04 07:06:00,2025-10-04 07:11:00,4514
PAY0000063,MER000054,CUS000211,INV0000380,GTW016,PM004,56922,INR,Captured,TXN100000062,2024-03-11 16:41:00,2024-03-11 16:55:00,3117
PAY0000064,MER000067,CUS000248,INV0000849,GTW009,PM020,70639,INR,Captured,TXN100000063,2025-04-15 22:09:00,2025-04-15 22:21:00,6495
PAY0000065,MER000012,CUS000072,INV0000447,GTW015,PM008,98466,INR,Authorized,TXN100000064,2025-08-29 08:20:00,,3956
PAY0000066,MER000024,CUS000125,INV0000685,GTW007,PM012,33962,INR,Captured,TXN100000065,2025-01-23 10:01:00,2025-01-23 10:07:00,2938
PAY0000067,MER000011,CUS000062,INV0000611,GTW014,PM016,72868,INR,Captured,TXN100000066,2024-10-09 17:00:00,2024-10-09 17:04:00,6360
PAY0000068,MER000012,CUS000076,INV0000488,GTW008,PM013,90773,INR,Captured,TXN100000067,2025-10-23 22:31:00,2025-10-23 22:32:00,2143
PAY0000069,MER000043,CUS000091,INV0000596,GTW015,PM009,40289,INR,Captured,TXN100000068,2025-01-12 15:35:00,2025-01-12 15:42:00,2209
PAY0000070,MER000024,CUS000050,INV0000739,GTW007,PM016,36341,INR,Failed,TXN100000069,2024-07-16 10:07:00,2024-07-16 10:20:00,6085
PAY0000071,MER000025,CUS000076,INV0000779,GTW008,PM012,23619,INR,Settled,TXN100000070,2025-06-21 19:18:00,2025-06-21 19:32:00,2626
PAY0000072,MER000038,CUS000179,INV0000547,GTW005,PM016,13546,INR,Settled,TXN100000071,2024-05-09 08:02:00,2024-05-09 08:11:00,7299
PAY0000073,MER000033,CUS000241,INV0000292,GTW016,PM004,8664,INR,Captured,TXN100000072,2025-04-25 15:28:00,2025-04-25 15:29:00,3432
PAY0000074,MER000039,CUS000022,INV0000591,GTW008,PM004,73247,INR,Captured,TXN100000073,2025-10-06 21:03:00,2025-10-06 21:16:00,6412
PAY0000075,MER000057,CUS000077,INV0000611,GTW019,PM014,40126,INR,Captured,TXN100000074,2025-09-25 07:49:00,2025-09-25 07:57:00,4808
PAY0000076,MER000011,CUS000041,INV0000625,GTW008,PM006,72450,INR,Captured,TXN100000075,2024-04-11 06:40:00,2024-04-11 06:51:00,764
PAY0000077,MER000030,CUS000074,INV0000419,GTW010,PM015,9429,INR,Captured,TXN100000076,2025-04-06 22:38:00,2025-04-06 22:39:00,5781
PAY0000078,MER000026,CUS000109,INV0000271,GTW004,PM018,29566,INR,Pending,TXN100000077,2025-10-02 18:42:00,,5455
PAY0000079,MER000037,CUS000113,INV0000273,GTW004,PM015,90366,INR,Captured,TXN100000078,2024-05-25 02:03:00,2024-05-25 02:08:00,2641
PAY0000080,MER000006,CUS000228,INV0000966,GTW014,PM011,79229,INR,Captured,TXN100000079,2024-10-05 16:34:00,2024-10-05 16:36:00,2201
PAY0000081,MER000035,CUS000148,INV0000235,GTW002,PM006,61769,INR,Settled,TXN100000080,2025-11-21 18:37:00,2025-11-21 18:50:00,4401
PAY0000082,MER000063,CUS000249,INV0000939,GTW003,PM016,45707,INR,Captured,TXN100000081,2024-10-11 05:37:00,2024-10-11 05:51:00,3495
PAY0000083,MER000037,CUS000170,INV0000687,GTW013,PM018,4909,INR,Captured,TXN100000082,2024-04-17 05:21:00,2024-04-17 05:29:00,3875
PAY0000084,MER000001,CUS000169,INV0000259,GTW018,PM015,54265,INR,Captured,TXN100000083,2024-11-27 03:49:00,2024-11-27 03:58:00,594
PAY0000085,MER000027,CUS000069,INV0000371,GTW018,PM005,37852,INR,Captured,TXN100000084,2025-09-29 15:40:00,2025-09-29 15:41:00,3739
PAY0000086,MER000031,CUS000182,,GTW006,PM010,72299,INR,Settled,TXN100000085,2025-05-11 03:01:00,2025-05-11 03:11:00,262
PAY0000087,MER000020,CUS000128,INV0000096,GTW010,PM017,92559,INR,Authorized,TXN100000086,2024-08-18 03:29:00,,2389
PAY0000088,MER000025,CUS000236,INV0000495,GTW020,PM017,97918,INR,Captured,TXN100000087,2025-04-28 07:29:00,2025-04-28 07:36:00,7353
PAY0000089,MER000065,CUS000069,INV0000072,GTW001,PM010,95264,INR,Authorized,TXN100000088,2024-10-09 13:21:00,,2595
PAY0000090,MER000062,CUS000089,INV0000594,GTW011,PM018,71328,INR,Captured,TXN100000089,2025-11-06 15:55:00,2025-11-06 16:04:00,3240
PAY0000091,MER000053,CUS000012,INV0000330,GTW011,PM016,92535,INR,Captured,TXN100000090,2024-07-12 22:15:00,2024-07-12 22:19:00,7632
PAY0000092,MER000017,CUS000129,INV0000396,GTW019,PM011,13254,INR,Captured,TXN100000091,2025-11-10 20:09:00,2025-11-10 20:10:00,7311
PAY0000093,MER000020,CUS000020,INV0000103,GTW016,PM009,44475,INR,Failed,TXN100000092,2025-06-22 14:00:00,2025-06-22 14:07:00,5255
PAY0000094,MER000049,CUS000245,INV0000666,GTW011,PM016,71012,INR,Failed,TXN100000093,2024-03-23 10:54:00,2024-03-23 11:03:00,444
PAY0000095,MER000012,CUS000112,INV0000241,GTW004,PM004,58253,INR,Captured,TXN100000094,2025-10-08 21:58:00,2025-10-08 22:02:00,1512
PAY0000096,MER000038,CUS000092,INV0000926,GTW012,PM014,19180,INR,Pending,TXN100000095,2024-01-30 01:20:00,,2150
PAY0000097,MER000049,CUS000159,INV0000580,GTW008,PM016,76535,INR,Captured,TXN100000096,2025-11-29 05:10:00,2025-11-29 05:20:00,1322
PAY0000098,MER000060,CUS000231,INV0000654,GTW010,PM018,20806,INR,Failed,TXN100000097,2024-09-17 14:16:00,2024-09-17 14:31:00,755
PAY0000099,MER000033,CUS000117,INV0000354,GTW010,PM007,50522,INR,Settled,TXN100000098,2025-08-24 09:40:00,2025-08-24 09:52:00,7140
PAY0000100,MER000038,CUS000006,INV0000243,GTW013,PM009,1161,INR,Captured,TXN100000099,2025-01-25 18:22:00,2025-01-25 18:34:00,4786
PAY0000101,MER000037,CUS000199,,GTW008,PM020,46279,INR,Captured,TXN100000100,2024-02-20 19:47:00,2024-02-20 20:02:00,1944
PAY0000102,MER000018,CUS000161,INV0000636,GTW004,PM002,40592,INR,Failed,TXN100000101,2024-09-13 21:48:00,2024-09-13 21:59:00,6610
PAY0000103,MER000042,CUS000192,INV0000594,GTW014,PM006,26418,INR,Captured,TXN100000102,2025-01-08 23:08:00,2025-01-08 23:13:00,1232
PAY0000104,MER000022,CUS000066,INV0000898,GTW016,PM010,97953,INR,Authorized,TXN100000103,2025-01-09 16:32:00,,7280
PAY0000105,MER000029,CUS000221,INV0000118,GTW013,PM018,48042,INR,Pending,TXN100000104,2025-04-24 02:09:00,,889
PAY0000106,MER000034,CUS000150,INV0000015,GTW013,PM012,14301,INR,Captured,TXN100000105,2024-09-27 17:07:00,2024-09-27 17:18:00,5678
PAY0000107,MER000029,CUS000166,INV0000026,GTW003,PM015,91991,INR,Authorized,TXN100000106,2025-09-26 17:20:00,,2625
PAY0000108,MER000015,CUS000025,INV0000120,GTW008,PM018,17881,INR,Captured,TXN100000107,2024-05-23 01:02:00,2024-05-23 01:10:00,3333
PAY0000109,MER000054,CUS000168,INV0000687,GTW004,PM016,80794,INR,Failed,TXN100000108,2025-07-07 13:37:00,2025-07-07 13:40:00,3493
PAY0000110,MER000057,CUS000244,,GTW008,PM012,13122,INR,Captured,TXN100000109,2024-10-13 01:44:00,2024-10-13 01:52:00,5767
PAY0000111,MER000016,CUS000243,INV0000924,GTW015,PM003,86970,INR,Captured,TXN100000110,2025-10-22 11:03:00,2025-10-22 11:07:00,1887
PAY0000112,MER000027,CUS000018,INV0000612,GTW018,PM007,76958,INR,Captured,TXN100000111,2024-01-22 01:50:00,2024-01-22 01:53:00,1919
PAY0000113,MER000001,CUS000071,INV0000239,GTW005,PM005,70907,INR,Authorized,TXN100000112,2024-12-02 04:50:00,,2203
PAY0000114,MER000031,CUS000151,INV0000113,GTW011,PM001,22938,INR,Captured,TXN100000113,2025-11-07 00:08:00,2025-11-07 00:21:00,2323
PAY0000115,MER000058,CUS000200,INV0000760,GTW012,PM017,77912,INR,Failed,TXN100000114,2025-03-07 16:07:00,2025-03-07 16:15:00,1043
PAY0000116,MER000067,CUS000078,INV0000227,GTW015,PM001,8072,INR,Pending,TXN100000115,2025-09-21 01:46:00,,4073
PAY0000117,MER000010,CUS000231,INV0000437,GTW003,PM011,79830,INR,Authorized,TXN100000116,2024-04-20 15:45:00,,1365
PAY0000118,MER000049,CUS000153,INV0000282,GTW017,PM010,59569,INR,Captured,TXN100000117,2025-10-01 20:37:00,2025-10-01 20:43:00,4291
PAY0000119,MER000028,CUS000111,INV0000102,GTW015,PM008,54339,INR,Authorized,TXN100000118,2024-04-27 20:41:00,,2926
PAY0000120,MER000033,CUS000096,INV0000409,GTW005,PM016,8899,INR,Captured,TXN100000119,2025-03-01 23:06:00,2025-03-01 23:12:00,897
PAY0000121,MER000017,CUS000143,INV0000096,GTW002,PM019,73708,INR,Failed,TXN100000120,2025-03-18 03:47:00,2025-03-18 04:00:00,4751
PAY0000122,MER000055,CUS000223,INV0000126,GTW002,PM010,78796,INR,Failed,TXN100000121,2025-02-24 11:55:00,2025-02-24 12:08:00,2709
PAY0000123,MER000014,CUS000090,INV0000592,GTW018,PM012,15158,INR,Failed,TXN100000122,2025-06-03 06:09:00,2025-06-03 06:13:00,6397
PAY0000124,MER000004,CUS000156,INV0000232,GTW009,PM001,23747,INR,Pending,TXN100000123,2025-03-15 17:49:00,,2388
PAY0000125,MER000052,CUS000018,INV0000317,GTW005,PM001,12126,INR,Captured,TXN100000124,2024-12-13 11:00:00,2024-12-13 11:03:00,6262
PAY0000126,MER000042,CUS000199,INV0000386,GTW019,PM020,11235,INR,Captured,TXN100000125,2025-03-05 14:21:00,2025-03-05 14:26:00,7386
PAY0000127,MER000055,CUS000125,INV0000162,GTW020,PM015,54387,INR,Captured,TXN100000126,2025-09-24 01:43:00,2025-09-24 01:51:00,2387
PAY0000128,MER000063,CUS000135,INV0000525,GTW010,PM002,29003,INR,Captured,TXN100000127,2024-04-26 11:27:00,2024-04-26 11:38:00,3387
PAY0000129,MER000018,CUS000196,,GTW009,PM010,43107,INR,Captured,TXN100000128,2024-02-26 00:13:00,2024-02-26 00:17:00,1132
PAY0000130,MER000030,CUS000129,INV0000765,GTW018,PM012,9547,INR,Captured,TXN100000129,2025-03-16 05:08:00,2025-03-16 05:20:00,3402
PAY0000131,MER000041,CUS000148,,GTW014,PM019,53108,INR,Captured,TXN100000130,2024-02-13 13:01:00,2024-02-13 13:03:00,5962
PAY0000132,MER000059,CUS000213,INV0000297,GTW012,PM003,57340,INR,Settled,TXN100000131,2024-04-27 12:01:00,2024-04-27 12:04:00,7068
PAY0000133,MER000040,CUS000191,INV0000447,GTW011,PM008,43755,INR,Captured,TXN100000132,2025-08-26 12:33:00,2025-08-26 12:47:00,6532
PAY0000134,MER000045,CUS000090,INV0000523,GTW005,PM008,13574,INR,Captured,TXN100000133,2025-10-10 03:33:00,2025-10-10 03:48:00,1349
PAY0000135,MER000010,CUS000046,INV0000178,GTW016,PM015,98986,INR,Pending,TXN100000134,2025-09-08 04:48:00,,4768
PAY0000136,MER000042,CUS000222,INV0000460,GTW011,PM005,57740,INR,Captured,TXN100000135,2025-11-28 18:41:00,2025-11-28 18:51:00,709
PAY0000137,MER000010,CUS000080,INV0000647,GTW015,PM015,5029,INR,Captured,TXN100000136,2024-11-06 08:37:00,2024-11-06 08:46:00,616
PAY0000138,MER000065,CUS000099,INV0000294,GTW015,PM019,72755,INR,Settled,TXN100000137,2024-03-19 20:55:00,2024-03-19 20:57:00,7967
PAY0000139,MER000025,CUS000083,INV0000918,GTW020,PM016,65815,INR,Pending,TXN100000138,2024-02-12 14:58:00,,1385
PAY0000140,MER000044,CUS000183,,GTW003,PM017,84789,INR,Authorized,TXN100000139,2025-04-06 03:51:00,,1563
PAY0000141,MER000047,CUS000096,INV0000725,GTW010,PM013,53678,INR,Captured,TXN100000140,2025-03-24 14:33:00,2025-03-24 14:36:00,6494
PAY0000142,MER000013,CUS000143,INV0000613,GTW013,PM010,33129,INR,Captured,TXN100000141,2024-02-23 20:41:00,2024-02-23 20:47:00,6078
PAY0000143,MER000019,CUS000235,,GTW012,PM010,86090,INR,Captured,TXN100000142,2025-09-09 04:21:00,2025-09-09 04:32:00,5871
PAY0000144,MER000043,CUS000209,INV0000133,GTW005,PM017,12349,INR,Captured,TXN100000143,2025-09-01 22:05:00,2025-09-01 22:12:00,5442
PAY0000145,MER000044,CUS000243,INV0000521,GTW016,PM007,29793,INR,Captured,TXN100000144,2025-01-05 00:23:00,2025-01-05 00:27:00,1276
PAY0000146,MER000068,CUS000010,INV0000303,GTW011,PM020,17276,INR,Captured,TXN100000145,2024-04-13 16:49:00,2024-04-13 17:01:00,5042
PAY0000147,MER000022,CUS000185,INV0000167,GTW015,PM002,53952,INR,Captured,TXN100000146,2024-07-04 22:49:00,2024-07-04 23:04:00,3134
PAY0000148,MER000058,CUS000060,INV0000244,GTW018,PM008,40662,INR,Pending,TXN100000147,2025-03-30 19:18:00,,6774
PAY0000149,MER000057,CUS000119,INV0000926,GTW010,PM013,66016,INR,Authorized,TXN100000148,2024-07-17 11:43:00,,4470
PAY0000150,MER000007,CUS000165,INV0000166,GTW016,PM012,72784,INR,Authorized,TXN100000149,2024-07-23 19:08:00,,7803
PAY0000151,MER000035,CUS000116,INV0000867,GTW017,PM005,57440,INR,Captured,TXN100000150,2025-06-12 03:18:00,2025-06-12 03:21:00,901
PAY0000152,MER000054,CUS000014,,GTW013,PM017,49115,INR,Captured,TXN100000151,2024-08-15 14:56:00,2024-08-15 14:57:00,2081
PAY0000153,MER000043,CUS000203,INV0000084,GTW005,PM005,5120,INR,Captured,TXN100000152,2025-01-18 07:01:00,2025-01-18 07:03:00,2500
PAY0000154,MER000061,CUS000115,,GTW020,PM001,10484,INR,Captured,TXN100000153,2025-04-28 22:53:00,2025-04-28 23:05:00,305
PAY0000155,MER000015,CUS000199,INV0000856,GTW010,PM008,39572,INR,Captured,TXN100000154,2024-06-02 17:46:00,2024-06-02 17:53:00,1148
PAY0000156,MER000064,CUS000153,INV0000430,GTW018,PM001,82931,INR,Captured,TXN100000155,2025-10-16 19:29:00,2025-10-16 19:43:00,4371
PAY0000157,MER000031,CUS000147,INV0000736,GTW014,PM006,87180,INR,Captured,TXN100000156,2024-05-27 09:27:00,2024-05-27 09:33:00,5624
PAY0000158,MER000065,CUS000142,INV0000999,GTW001,PM013,61721,INR,Captured,TXN100000157,2025-01-04 02:33:00,2025-01-04 02:46:00,506
PAY0000159,MER000045,CUS000062,INV0000383,GTW004,PM019,96462,INR,Captured,TXN100000158,2024-09-16 23:01:00,2024-09-16 23:03:00,6348
PAY0000160,MER000023,CUS000213,INV0000046,GTW015,PM016,82902,INR,Pending,TXN100000159,2024-12-26 17:21:00,,1643
PAY0000161,MER000026,CUS000227,INV0000065,GTW002,PM011,40742,INR,Captured,TXN100000160,2025-04-13 01:18:00,2025-04-13 01:31:00,4372
PAY0000162,MER000025,CUS000074,INV0000835,GTW012,PM002,86048,INR,Captured,TXN100000161,2025-07-10 15:16:00,2025-07-10 15:27:00,2869
PAY0000163,MER000050,CUS000087,INV0000819,GTW006,PM016,90810,INR,Captured,TXN100000162,2025-01-11 13:56:00,2025-01-11 14:04:00,4225
PAY0000164,MER000011,CUS000111,INV0000817,GTW020,PM006,71596,INR,Captured,TXN100000163,2025-06-15 08:51:00,2025-06-15 08:58:00,2556
PAY0000165,MER000055,CUS000043,INV0000082,GTW015,PM012,58706,INR,Captured,TXN100000164,2024-12-01 21:18:00,2024-12-01 21:28:00,496
PAY0000166,MER000008,CUS000020,INV0000934,GTW013,PM012,67351,INR,Captured,TXN100000165,2024-12-27 19:27:00,2024-12-27 19:40:00,6712
PAY0000167,MER000057,CUS000009,INV0000164,GTW005,PM003,31032,INR,Captured,TXN100000166,2024-02-01 04:54:00,2024-02-01 05:07:00,6527
PAY0000168,MER000058,CUS000243,INV0000371,GTW012,PM012,58288,INR,Captured,TXN100000167,2025-01-27 18:02:00,2025-01-27 18:13:00,6401
PAY0000169,MER000032,CUS000246,INV0000141,GTW004,PM001,96526,INR,Captured,TXN100000168,2025-06-26 11:25:00,2025-06-26 11:30:00,1674
PAY0000170,MER000058,CUS000055,INV0000397,GTW020,PM010,91061,INR,Pending,TXN100000169,2025-07-29 03:16:00,,7657
PAY0000171,MER000058,CUS000045,,GTW015,PM003,89481,INR,Authorized,TXN100000170,2024-07-23 03:08:00,,7076
PAY0000172,MER000038,CUS000229,,GTW010,PM006,93398,INR,Captured,TXN100000171,2025-11-14 11:45:00,2025-11-14 11:54:00,5962
PAY0000173,MER000016,CUS000052,,GTW005,PM008,64852,INR,Captured,TXN100000172,2025-10-15 05:50:00,2025-10-15 05:54:00,365
PAY0000174,MER000012,CUS000017,INV0000587,GTW010,PM013,94069,INR,Settled,TXN100000173,2025-01-12 14:51:00,2025-01-12 14:54:00,6038
PAY0000175,MER000010,CUS000116,INV0000421,GTW015,PM017,45256,INR,Captured,TXN100000174,2025-02-23 18:04:00,2025-02-23 18:10:00,1201
PAY0000176,MER000056,CUS000129,,GTW002,PM004,68008,INR,Captured,TXN100000175,2025-07-18 20:37:00,2025-07-18 20:40:00,1403
PAY0000177,MER000037,CUS000217,INV0000166,GTW003,PM009,25829,INR,Captured,TXN100000176,2024-11-26 22:14:00,2024-11-26 22:23:00,5352
PAY0000178,MER000012,CUS000129,,GTW006,PM019,76206,INR,Captured,TXN100000177,2024-10-08 04:40:00,2024-10-08 04:49:00,1413
PAY0000179,MER000006,CUS000212,INV0000640,GTW001,PM003,6058,INR,Authorized,TXN100000178,2025-09-11 10:53:00,,7920
PAY0000180,MER000054,CUS000159,INV0000591,GTW001,PM016,82303,INR,Pending,TXN100000179,2024-09-28 20:13:00,,4619
PAY0000181,MER000052,CUS000077,INV0000980,GTW015,PM003,90357,INR,Pending,TXN100000180,2024-11-05 15:15:00,,640
PAY0000182,MER000041,CUS000221,INV0000426,GTW011,PM012,52360,INR,Captured,TXN100000181,2025-05-10 14:13:00,2025-05-10 14:16:00,1221
PAY0000183,MER000035,CUS000116,INV0000528,GTW008,PM005,12789,INR,Captured,TXN100000182,2025-07-29 03:20:00,2025-07-29 03:22:00,564
