attempt_id,payment_id,gateway_id,attempt_number,attempt_status,failure_reason,started_at,completed_at
ATT0000059,PAY0001136,GTW005,1,Success,,2025-01-23 21:47:57,2025-01-23 21:48:03
ATT0000060,PAY0001261,GTW019,2,Success,,2024-01-01 09:18:13,2024-01-01 09:18:27
ATT0000061,PAY0001188,GTW020,3,Success,,2025-03-28 14:43:13,2025-03-28 14:43:30
ATT0000062,PAY0000970,GTW006,3,Success,,2025-06-11 21:40:39,2025-06-11 21:40:50
ATT0000063,PAY0000192,GTW008,3,Success,,2024-07-22 04:01:02,2024-07-22 04:01:10
ATT0000064,PAY0000974,GTW020,1,Success,,2025-10-06 18:12:45,2025-10-06 18:12:58
ATT0000065,PAY0001013,GTW013,1,Success,,2024-01-06 03:49:27,2024-01-06 03:49:35
ATT0000066,PAY0000361,GTW017,2,Success,,2024-09-12 03:29:08,2024-09-12 03:29:23
ATT0000067,PAY0001368,GTW017,3,Success,,2025-03-29 19:52:46,2025-03-29 19:53:03
ATT0000068,PAY0000874,GTW018,2,Failed,Invalid OTP,2025-05-01 14:16:48,2025-05-01 14:16:56
ATT0000069,PAY0001068,GTW016,3,Success,,2025-03-26 02:45:18,2025-03-26 02:45:26
ATT0000070,PAY0000557,GTW011,2,Failed,Network Error,2024-03-23 04:09:14,2024-03-23 04:09:27
ATT0000071,PAY0001447,GTW007,1,Success,,2024-12-04 17:29:26,2024-12-04 17:29:28
ATT0000072,PAY0000424,GTW014,2,Failed,Bank Declined,2025-08-21 22:01:54,2025-08-21 22:02:13
ATT0000073,PAY0000977,GTW001,2,Success,,2025-02-03 13:34:47,2025-02-03 13:35:05
ATT0000074,PAY0001236,GTW008,2,Success,,2025-03-22 15:01:24,2025-03-22 15:01:35
ATT0000075,PAY0001370,GTW013,3,Success,,2025-04-23 04:39:34,2025-04-23 04:39:35
ATT0000076,PAY0000807,GTW019,3,Success,,2024-03-26 20:27:08,2024-03-26 20:27:23
ATT0000077,PAY0000373,GTW002,2,Success,,2024-08-04 14:20:21,2024-08-04 14:20:34
ATT0000078,PAY0000570,GTW014,2,Failed,Card Expired,2025-04-26 00:47:34,2025-04-26 00:47:36
ATT0000079,PAY0000460,GTW003,3,Success,,2024-02-01 07:12:53,2024-02-01 07:12:54
ATT0000080,PAY0001273,GTW005,1,Success,,2025-11-16 03:36:13,2025-11-16 03:36:28
ATT0000081,PAY0001433,GTW009,2,Success,,2025-09-13 23:45:07,2025-09-13 23:45:13
ATT0000082,PAY0000638,GTW004,3,Success,,2024-11-15 18:43:58,2024-11-15 18:44:11
ATT0000083,PAY0000813,GTW007,1,Success,,2025-10-04 07:06:44,2025-10-04 07:06:54
ATT0000084,PAY0001402,GTW020,1,Success,,2025-08-02 01:22:34,2025-08-02 01:22:48
ATT0000085,PAY0001355,GTW012,1,Success,,2024-12-15 00:54:26,2024-12-15 00:54:42
ATT0000086,PAY0000217,GTW014,2,Success,,2025-04-15 22:09:27,2025-04-15 22:09:33
ATT0000087,PAY0001069,GTW009,3,Failed,Invalid OTP,2025-07-05 15:29:27,2025-07-05 15:29:46
ATT0000088,PAY0000661,GTW008,1,Success,,2025-04-06 07:48:29,2025-04-06 07:48:48
ATT0000089,PAY0001250,GTW013,2,Success,,2024-11-28 05:31:13,2024-11-28 05:31:25
ATT0000090,PAY0000530,GTW011,2,Failed,Bank Timeout,2024-10-09 17:00:33,2024-10-09 17:00:40
ATT0000091,PAY0000495,GTW014,2,Success,,2024-09-03 22:30:41,2024-09-03 22:30:57
ATT0000092,PAY0000918,GTW001,1,Success,,2025-02-18 22:15:19,2025-02-18 22:15:38
ATT0000093,PAY0000756,GTW016,3,Success,,2025-03-11 23:35:21,2025-03-11 23:35:33
ATT0000094,PAY0001440,GTW015,2,Success,,2024-08-24 03:46:12,2024-08-24 03:46:23
ATT0000095,PAY0000245,GTW018,3,Success,,2024-08-09 23:30:17,2024-08-09 23:30:36
ATT0000096,PAY0001075,GTW020,2,Failed,Invalid OTP,2024-07-17 09:14:23,2024-07-17 09:14:29
ATT0000097,PAY0000029,GTW018,1,Success,,2024-02-25 17:18:44,2024-02-25 17:18:49
ATT0000098,PAY0001307,GTW016,1,Failed,Card Expired,2025-08-10 09:30:30,2025-08-10 09:30:45
ATT0000099,PAY0000378,GTW002,2,Failed,Daily Limit Exceeded,2025-05-04 03:52:04,2025-05-04 03:52:17
ATT0000100,PAY0000152,GTW019,3,Success,,2024-06-04 04:51:36,2024-06-04 04:51:46
ATT0000101,PAY0000175,GTW008,1,Success,,2025-03-02 19:38:50,2025-03-02 19:39:10
ATT0000102,PAY0000463,GTW017,2,Success,,2025-03-29 09:55:37,2025-03-29 09:55:51
ATT0000103,PAY0000626,GTW019,3,Success,,2024-04-11 06:40:13,2024-04-11 06:40:22
ATT0000104,PAY0001353,GTW003,1,Success,,2025-07-19 02:10:00,2025-07-19 02:10:14
ATT0000105,PAY0000923,GTW020,2,Success,,2024-08-25 09:45:18,2024-08-25 09:45:33
ATT0000106,PAY0000146,GTW008,2,Success,,2025-10-02 18:42:51,2025-10-02 18:42:58
ATT0000107,PAY0000871,GTW004,3,Success,,2024-06-01 08:52:09,2024-06-01 08:52:12
ATT0000108,PAY0000123,GTW006,2,Success,,2025-08-05 09:28:07,2025-08-05 09:28:22
ATT0000109,PAY0001411,GTW010,3,Success,,2024-10-05 16:34:31,2024-10-05 16:34:46
ATT0000110,PAY0000165,GTW020,1,Failed,UPI Timeout,2024-11-26 19:16:01,2024-11-26 19:16:04
ATT0000111,PAY0001381,GTW019,3,Failed,Daily Limit Exceeded,2025-11-19 08:36:02,2025-11-19 08:36:08
ATT0000112,PAY0001063,GTW015,2,Success,,2025-08-22 13:40:52,2025-08-22 13:41:08
ATT0000113,PAY0000187,GTW016,2,Success,,2024-11-24 21:06:54,2024-11-24 21:07:00
ATT0000114,PAY0000676,GTW014,3,Success,,2025-11-09 12:52:48,2025-11-09 12:53:06
ATT0000115,PAY0000076,GTW015,1,Success,,2024-11-27 03:49:25,2024-11-27 03:49:42
ATT0000116,PAY0000003,GTW018,2,Success,,2024-07-11 16:23:39,2024-07-11 16:23:55
ATT0000117,PAY0001281,GTW015,1,Success,,2025-07-16 04:59:18,2025-07-16 04:59:33
ATT0000118,PAY0001431,GTW016,1,Success,,2025-10-07 19:51:15,2025-10-07 19:51:21
ATT0000119,PAY0000637,GTW018,1,Success,,2024-04-05 07:53:58,2024-04-05 07:54:02
ATT0000120,PAY0000946,GTW004,3,Failed,Bank Declined,2025-05-25 22:18:32,2025-05-25 22:18:41
ATT0000121,PAY0000989,GTW016,1,Success,,2024-05-28 12:12:58,2024-05-28 12:13:18
ATT0000122,PAY0001041,GTW005,1,Success,,2025-02-28 10:59:50,2025-02-28 11:00:07
ATT0000123,PAY0000548,GTW001,2,Success,,2025-08-24 18:42:31,2025-08-24 18:42:36
ATT0000124,PAY0000915,GTW018,2,Success,,2025-07-19 17:24:29,2025-07-19 17:24:40
ATT0000125,PAY0000387,GTW008,3,Success,,2025-02-24 01:20:47,2025-02-24 01:21:03
ATT0000126,PAY0001445,GTW013,2,Failed,Fraud Check Failed,2025-10-29 04:31:02,2025-10-29 04:31:07
ATT0000127,PAY0001209,GTW011,1,Failed,Insufficient Funds,2025-03-26 03:33:58,2025-03-26 03:34:13
ATT0000128,PAY0001480,GTW005,2,Failed,Card Expired,2024-06-07 02:30:50,2024-06-07 02:30:59
ATT0000129,PAY0001277,GTW013,3,Success,,2024-12-02 21:54:34,2024-12-02 21:54:47
ATT0000130,PAY0000649,GTW016,3,Success,,2024-03-11 07:40:43,2024-03-11 07:40:53
ATT0000131,PAY0000466,GTW003,2,Failed,Network Error,2025-10-10 22:55:06,2025-10-10 22:55:21
ATT0000132,PAY0001422,GTW010,1,Success,,2024-02-27 09:22:23,2024-02-27 09:22:37
ATT0000133,PAY0000299,GTW008,3,Success,,2025-11-29 05:10:11,2025-11-29 05:10:14
ATT0000134,PAY0001249,GTW013,3,Success,,2025-05-24 18:09:14,2025-05-24 18:09:29
ATT0000135,PAY0001307,GTW009,2,Success,,2024-01-10 14:57:18,2024-01-10 14:57:36
ATT0000136,PAY0000324,GTW003,2,Failed,Daily Limit Exceeded,2025-08-24 09:40:27,2025-08-24 09:40:36
ATT0000137,PAY0000619,GTW007,2,Failed,Customer Cancelled,2024-04-19 07:24:36,2024-04-19 07:24:48
ATT0000138,PAY0000606,GTW010,1,Failed,Insufficient Funds,2025-11-05 12:17:00,2025-11-05 12:17:19
ATT0000139,PAY0001242,GTW016,2,Success,,2024-08-23 19:51:22,2024-08-23 19:51:30
ATT0000140,PAY0001304,GTW007,3,Success,,2025-11-06 21:53:08,2025-11-06 21:53:12
ATT0000141,PAY0001286,GTW002,2,Success,,2024-02-04 18:23:46,2024-02-04 18:23:51
ATT0000142,PAY0000185,GTW010,2,Success,,2024-06-28 06:08:50,2024-06-28 06:09:08
ATT0000143,PAY0000750,GTW017,3,Failed,Invalid OTP,2024-06-17 08:58:52,2024-06-17 08:59:08
ATT0000144,PAY0000694,GTW004,2,Failed,Fraud Check Failed,2024-05-24 07:55:43,2024-05-24 07:55:56
ATT0000145,PAY0000750,GTW003,2,Success,,2025-07-03 03:29:23,2025-07-03 03:29:32
ATT0000146,PAY0001198,GTW013,3,Failed,Customer Cancelled,2024-04-20 21:14:30,2024-04-20 21:14:31
ATT0000147,PAY0001150,GTW011,3,Success,,2024-03-05 20:52:29,2024-03-05 20:52:39
ATT0000148,PAY0001330,GTW014,1,Success,,2024-02-08 09:31:07,2024-02-08 09:31:11
ATT0000149,PAY0000481,GTW018,1,Success,,2025-01-14 21:47:44,2025-01-14 21:48:02
ATT0000150,PAY0000859,GTW019,3,Success,,2025-02-28 20:06:53,2025-02-28 20:07:09
ATT0000151,PAY0001261,GTW014,2,Success,,2025-01-14 06:28:28,2025-01-14 06:28:36
ATT0000152,PAY0000743,GTW004,3,Success,,2025-10-22 11:03:25,2025-10-22 11:03:34
ATT0000153,PAY0000389,GTW004,2,Success,,2024-08-05 20:40:38,2024-08-05 20:40:39
ATT0000154,PAY0000104,GTW011,1,Failed,UPI Timeout,2025-08-01 06:04:53,2025-08-01 06:05:11
ATT0000155,PAY0001201,GTW007,1,Success,,2024-05-31 19:00:17,2024-05-31 19:00:22
ATT0000156,PAY0000267,GTW018,2,Success,,2024-04-22 21:55:01,2024-04-22 21:55:06
ATT0000157,PAY0000031,GTW012,1,Success,,2024-01-17 05:16:03,2024-01-17 05:16:08
ATT0000158,PAY0000863,GTW017,1,Success,,2025-05-02 14:49:23,2025-05-02 14:49:40
ATT0000159,PAY0001216,GTW004,2,Success,,2025-09-21 01:46:50,2025-09-21 01:47:07
ATT0000160,PAY0000618,GTW015,3,Failed,Bank Timeout,2024-03-03 15:54:25,2024-03-03 15:54:39
ATT0000161,PAY0001005,GTW015,1,Failed,Invalid OTP,2024-11-25 19:09:04,2024-11-25 19:09:09
ATT0000162,PAY0001279,GTW019,3,Success,,2025-01-25 19:33:18,2025-01-25 19:33:33
ATT0000163,PAY0001036,GTW020,2,Success,,2024-04-27 20:41:56,2024-04-27 20:42:14
ATT0000164,PAY0001477,GTW007,2,Success,,2024-08-21 13:21:52,2024-08-21 13:22:07
ATT0000165,PAY0000817,GTW014,3,Success,,2025-03-13 10:42:16,2025-03-13 10:42:28
ATT0000166,PAY0000313,GTW016,1,Success,,2024-03-28 02:27:06,2024-03-28 02:27:18
ATT0000167,PAY0000267,GTW018,1,Success,,2025-07-29 17:21:42,2025-07-29 17:21:46
ATT0000168,PAY0000842,GTW012,3,Failed,Invalid OTP,2025-03-09 23:03:18,2025-03-09 23:03:38
ATT0000169,PAY0000721,GTW004,3,Success,,2024-06-07 21:30:14,2024-06-07 21:30:18
ATT0000170,PAY0000718,GTW018,2,Success,,2024-10-12 18:14:51,2024-10-12 18:15:05
ATT0000171,PAY0001149,GTW020,3,Success,,2025-07-24 00:38:59,2025-07-24 00:39:08
ATT0000172,PAY0000060,GTW006,2,Success,,2024-11-12 10:22:00,2024-11-12 10:22:06
ATT0000173,PAY0000294,GTW019,3,Success,,2024-05-25 23:40:01,2024-05-25 23:40:04
ATT0000174,PAY0001087,GTW007,2,Success,,2024-12-15 05:23:19,2024-12-15 05:23:30
ATT0000175,PAY0001163,GTW020,1,Failed,Bank Timeout,2024-06-08 05:48:39,2024-06-08 05:48:41
ATT0000176,PAY0000558,GTW015,3,Success,,2025-09-13 14:26:17,2025-09-13 14:26:24
ATT0000177,PAY0001050,GTW004,2,Success,,2024-10-17 21:43:37,2024-10-17 21:43:53
ATT0000178,PAY0001080,GTW010,1,Success,,2025-09-05 01:00:13,2025-09-05 01:00:23
ATT0000179,PAY0000433,GTW005,2,Success,,2024-05-02 00:31:47,2024-05-02 00:32:01
ATT0000180,PAY0000360,GTW005,2,Success,,2024-08-23 16:35:53,2024-08-23 16:36:05
ATT0000181,PAY0000148,GTW013,3,Success,,2024-01-20 14:58:04,2024-01-20 14:58:15
ATT0000182,PAY0001180,GTW014,3,Success,,2025-10-17 13:18:07,2025-10-17 13:18:20
ATT0000183,PAY0000043,GTW011,1,Failed,Bank Timeout,2025-09-24 14:53:44,2025-09-24 14:53:56
ATT0000184,PAY0000895,GTW004,1,Success,,2025-02-14 16:05:25,2025-02-14 16:05:35
ATT0000185,PAY0000696,GTW008,2,Success,,2024-03-19 16:40:07,2024-03-19 16:40:24
ATT0000186,PAY0001045,GTW007,2,Success,,2025-10-22 04:15:06,2025-10-22 04:15:11
ATT0000187,PAY0000525,GTW007,1,Success,,2025-11-02 02:11:49,2025-11-02 02:12:05
ATT0000188,PAY0000951,GTW019,3,Success,,2025-08-01 20:40:39,2025-08-01 20:40:50
ATT0000189,PAY0001285,GTW011,1,Success,,2025-04-25 14:40:19,2025-04-25 14:40:28
ATT0000190,PAY0001212,GTW002,2,Success,,2024-11-13 14:28:02,2024-11-13 14:28:04
ATT0000191,PAY0000756,GTW010,1,Success,,2024-04-02 19:38:32,2024-04-02 19:38:45
ATT0000192,PAY0000948,GTW019,3,Failed,UPI Timeout,2024-02-12 14:58:51,2024-02-12 14:59:10
ATT0000193,PAY0000659,GTW020,2,Success,,2024-03-04 14:06:51,2024-03-04 14:07:02
ATT0000194,PAY0001463,GTW003,3,Success,,2024-02-10 07:45:28,2024-02-10 07:45:43
ATT0000195,PAY0001074,GTW017,3,Success,,2025-01-16 09:24:26,2025-01-16 09:24:37
ATT0000196,PAY0001391,GTW020,1,Success,,2025-10-24 10:04:21,2025-10-24 10:04:25
ATT0000197,PAY0001143,GTW013,2,Success,,2025-11-03 19:55:09,2025-11-03 19:55:20
ATT0000198,PAY0000167,GTW019,3,Success,,2024-12-24 09:41:44,2024-12-24 09:41:57
ATT0000199,PAY0000265,GTW020,3,Failed,Network Error,2024-11-13 17:24:41,2024-11-13 17:24:52
ATT0000200,PAY0001373,GTW017,1,Success,,2025-03-09 16:23:01,2025-03-09 16:23:13
ATT0000201,PAY0000633,GTW006,1,Success,,2025-05-12 06:14:08,2025-05-12 06:14:13
ATT0000202,PAY0000159,GTW010,1,Success,,2025-07-06 23:56:33,2025-07-06 23:56:35
ATT0000203,PAY0001356,GTW011,3,Success,,2025-01-20 04:10:11,2025-01-20 04:10:31
ATT0000204,PAY0000340,GTW015,1,Success,,2025-11-23 23:15:28,2025-11-23 23:15:48
ATT0000205,PAY0000584,GTW015,1,Success,,2024-11-12 15:57:53,2024-11-12 15:58:00
ATT0000206,PAY0000754,GTW019,2,Success,,2024-10-15 12:32:33,2024-10-15 12:32:47
ATT0000207,PAY0000332,GTW007,3,Success,,2024-09-13 01:41:30,2024-09-13 01:41:42
ATT0000208,PAY0001136,GTW004,3,Failed,Invalid OTP,2024-05-07 09:05:48,2024-05-07 09:05:54
ATT0000209,PAY0000921,GTW017,1,Failed,Insufficient Funds,2024-04-03 07:52:28,2024-04-03 07:52:40
ATT0000210,PAY0000850,GTW002,2,Success,,2024-08-29 12:05:23,2024-08-29 12:05:31
ATT0000211,PAY0000058,GTW011,1,Failed,Insufficient Funds,2025-10-27 10:50:09,2025-10-27 10:50:14
ATT0000212,PAY0000588,GTW016,3,Failed,Insufficient Funds,2025-04-25 14:39:00,2025-04-25 14:39:03
ATT0000213,PAY0000525,GTW007,1,Success,,2025-09-15 16:27:07,2025-09-15 16:27:17
ATT0000214,PAY0000487,GTW010,1,Success,,2025-03-05 20:50:39,2025-03-05 20:50:54
ATT0000215,PAY0000129,GTW004,2,Success,,2024-01-17 20:32:36,2024-01-17 20:32:44
ATT0000216,PAY0001472,GTW005,2,Success,,2025-09-21 11:15:36,2025-09-21 11:15:50
ATT0000217,PAY0000384,GTW003,3,Failed,Fraud Check Failed,2024-03-10 16:34:32,2024-03-10 16:34:49
ATT0000218,PAY0000042,GTW013,2,Success,,2025-01-31 11:16:47,2025-01-31 11:16:48
ATT0000219,PAY0000732,GTW003,2,Success,,2025-11-03 20:06:49,2025-11-03 20:07:08
ATT0000220,PAY0000681,GTW005,1,Success,,2024-12-12 20:11:53,2024-12-12 20:12:08
ATT0000221,PAY0001425,GTW016,3,Success,,2024-05-18 02:45:49,2024-05-18 02:46:04
ATT0000222,PAY0000076,GTW010,1,Success,,2024-07-23 01:20:59,2024-07-23 01:21:09
ATT0000223,PAY0001056,GTW013,3,Success,,2024-02-07 20:12:18,2024-02-07 20:12:30
ATT0000224,PAY0000098,GTW011,2,Success,,2025-01-11 13:56:25,2025-01-11 13:56:40
ATT0000225,PAY0000792,GTW011,1,Success,,2025-05-24 11:59:51,2025-05-24 12:00:08
ATT0000226,PAY0000547,GTW003,3,Success,,2025-03-16 19:52:11,2025-03-16 19:52:29
ATT0000227,PAY0000602,GTW011,1,Success,,2025-11-07 09:19:28,2025-11-07 09:19:48
ATT0000228,PAY0001470,GTW014,1,Success,,2024-12-25 14:02:46,2024-12-25 14:02:58
ATT0000229,PAY0001260,GTW014,2,Success,,2024-02-28 02:42:40,2024-02-28 02:42:53
ATT0000230,PAY0000745,GTW017,3,Success,,2024-02-01 04:54:38,2024-02-01 04:54:53
ATT0000231,PAY0000072,GTW005,1,Success,,2025-10-22 11:23:24,2025-10-22 11:23:43
ATT0000232,PAY0000067,GTW020,1,Success,,2025-01-14 11:28:48,2025-01-14 11:28:51
ATT0000233,PAY0001176,GTW005,3,Success,,2024-11-17 20:17:15,2024-11-17 20:17:19
ATT0000234,PAY0000054,GTW006,2,Success,,2025-07-29 03:16:49,2025-07-29 03:16:58
ATT0000235,PAY0001442,GTW015,1,Failed,Bank Timeout,2024-10-19 22:58:31,2024-10-19 22:58:38
ATT0000236,PAY0000278,GTW003,2,Success,,2025-03-31 02:51:43,2025-03-31 02:51:54
ATT0000237,PAY0001368,GTW012,3,Success,,2025-07-09 09:57:19,2025-07-09 09:57:25
ATT0000238,PAY0001458,GTW006,2,Success,,2024-05-04 06:50:08,2024-05-04 06:50:16
ATT0000239,PAY0001012,GTW001,2,Success,,2025-01-12 14:51:35,2025-01-12 14:51:40
ATT0000240,PAY0001254,GTW003,1,Success,,2025-05-05 16:26:49,2025-05-05 16:27:03
ATT0000241,PAY0001178,GTW003,1,Failed,Card Expired,2025-10-19 02:28:29,2025-10-19 02:28:46
ATT0000242,PAY0000263,GTW018,3,Success,,2024-05-12 13:32:58,2024-05-12 13:33:00
ATT0000243,PAY0000255,GTW017,1,Success,,2024-06-14 10:59:45,2024-06-14 10:59:53
ATT0000244,PAY0000709,GTW017,2,Failed,Network Error,2024-09-13 06:40:35,2024-09-13 06:40:44
ATT0000245,PAY0001281,GTW010,3,Success,,2025-05-29 20:10:37,2025-05-29 20:10:56
ATT0000246,PAY0000316,GTW006,3,Success,,2025-09-11 10:53:59,2025-09-11 10:54:18
ATT0000247,PAY0000085,GTW001,1,Success,,2025-10-18 18:16:41,2025-10-18 18:16:48
ATT0000248,PAY0001172,GTW014,3,Success,,2025-05-24 20:34:18,2025-05-24 20:34:28
ATT0000249,PAY0000990,GTW008,3,Success,,2025-04-09 02:44:03,2025-04-09 02:44:09
ATT0000250,PAY0000901,GTW014,2,Success,,2024-12-14 19:09:20,2024-12-14 19:09:31
ATT0000251,PAY0000708,GTW013,1,Success,,2025-06-11 17:06:20,2025-06-11 17:06:28
ATT0000252,PAY0000956,GTW004,2,Success,,2024-05-24 03:03:18,2024-05-24 03:03:31
ATT0000253,PAY0001261,GTW014,1,Failed,UPI Timeout,2024-06-12 10:59:36,2024-06-12 10:59:47
ATT0000254,PAY0000327,GTW016,3,Success,,2024-11-11 15:01:05,2024-11-11 15:01:18
ATT0000255,PAY0001036,GTW015,1,Success,,2024-12-27 01:03:18,2024-12-27 01:03:34
ATT0000256,PAY0001224,GTW016,2,Success,,2024-04-20 13:08:56,2024-04-20 13:09:05
ATT0000257,PAY0001490,GTW012,2,Success,,2025-02-14 01:36:35,2025-02-14 01:36:42
ATT0000258,PAY0000743,GTW018,2,Success,,2025-05-31 14:48:35,2025-05-31 14:48:44
ATT0000259,PAY0001277,GTW020,1,Success,,2024-04-09 12:23:50,2024-04-09 12:24:01
ATT0000260,PAY0001143,GTW012,1,Success,,2025-06-05 12:32:02,2025-06-05 12:32:04
ATT0000261,PAY0000080,GTW005,3,Success,,2025-04-30 16:29:09,2025-04-30 16:29:29
ATT0000262,PAY0001056,GTW005,2,Failed,Customer Cancelled,2024-11-22 05:25:39,2024-11-22 05:25:49
ATT0000263,PAY0000689,GTW017,3,Success,,2025-07-30 09:30:52,2025-07-30 09:30:53
ATT0000264,PAY0000755,GTW011,3,Success,,2025-03-02 18:19:50,2025-03-02 18:19:51
ATT0000265,PAY0001223,GTW016,2,Failed,Customer Cancelled,2025-08-15 18:14:46,2025-08-15 18:14:48
