refund_id,payment_id,merchant_id,refund_amount,refund_reason,refund_status,requested_at,completed_at
REF000042,PAY0000105,MER000012,8673,Service Unavailable,Approved,2025-10-11 13:53:00,2025-10-11 18:53:00
REF000043,PAY0000331,MER000057,45386,Product Returned,Completed,2025-07-18 22:27:00,2025-07-18 23:27:00
REF000044,PAY0001118,MER000005,8452,Customer Request,Requested,2025-01-13 18:35:00,
REF000045,PAY0000632,MER000047,23278,Pricing Error,Completed,2024-02-10 11:13:00,2024-02-15 12:13:00
REF000046,PAY0001272,MER000020,11854,Fraud Suspected,Completed,2024-08-30 05:51:00,2024-09-02 05:51:00
REF000047,PAY0000844,MER000032,30947,Order Cancelled,Completed,2024-09-30 05:50:00,2024-10-03 05:50:00
REF000048,PAY0000409,MER000059,1650,Order Cancelled,Completed,2024-12-24 09:52:00,2024-12-25 12:52:00
REF000049,PAY0000817,MER000043,26293,Fraud Suspected,Approved,2024-10-12 02:49:00,2024-10-17 10:49:00
REF000050,PAY0000057,MER000015,7204,Pricing Error,Failed,2024-09-24 05:37:00,2024-09-26 05:37:00
REF000051,PAY0000708,MER000041,37887,Order Cancelled,Requested,2025-03-22 19:32:00,
REF000052,PAY0000522,MER000006,47248,Order Cancelled,Completed,2025-03-22 00:33:00,2025-03-26 10:33:00
REF000053,PAY0000746,MER000056,8267,Service Unavailable,Completed,2024-03-12 21:58:00,2024-03-15 07:58:00
REF000054,PAY0001039,MER000040,8441,Order Cancelled,Completed,2025-11-13 13:20:00,2025-11-15 21:20:00
REF000055,PAY0000862,MER000049,26712,Customer Request,Approved,2025-11-24 23:57:00,2025-11-29 03:57:00
REF000056,PAY0000623,MER000037,30573,Technical Issue,Completed,2024-08-03 13:50:00,2024-08-08 18:50:00
REF000057,PAY0000906,MER000028,43278,Duplicate Payment,Completed,2025-06-07 15:50:00,2025-06-12 17:50:00
REF000058,PAY0000582,MER000066,20443,Order Cancelled,Completed,2025-11-10 20:39:00,2025-11-12 06:39:00
REF000059,PAY0000408,MER000019,4872,Technical Issue,Failed,2024-01-26 01:15:00,2024-01-30 13:15:00
REF000060,PAY0000849,MER000025,463,Duplicate Payment,Approved,2025-01-28 15:25:00,2025-02-03 02:25:00
REF000061,PAY0000871,MER000029,8053,Technical Issue,Completed,2024-06-29 22:33:00,2024-07-04 01:33:00
REF000062,PAY0000274,MER000060,47238,Pricing Error,Completed,2025-11-14 16:35:00,2025-11-18 01:35:00
REF000063,PAY0001123,MER000058,16303,Service Unavailable,Completed,2024-06-11 23:55:00,2024-06-14 11:55:00
REF000064,PAY0001068,MER000063,15467,Service Unavailable,Completed,2025-10-03 07:17:00,2025-10-08 11:17:00
REF000065,PAY0000688,MER000041,10114,Order Cancelled,Approved,2025-07-07 02:08:00,2025-07-10 13:08:00
REF000066,PAY0000132,MER000054,27634,Pricing Error,Completed,2025-02-21 10:34:00,2025-02-21 13:34:00
REF000067,PAY0001197,MER000003,23152,Service Unavailable,Requested,2025-08-12 12:30:00,
REF000068,PAY0000799,MER000054,32096,Order Cancelled,Completed,2025-07-05 23:47:00,2025-07-10 02:47:00
REF000069,PAY0000559,MER000056,26597,Product Returned,Completed,2025-05-12 00:24:00,2025-05-17 12:24:00
REF000070,PAY0000958,MER000017,43550,Customer Request,Completed,2025-09-29 17:01:00,2025-10-04 02:01:00
REF000071,PAY0000172,MER000055,24944,Fraud Suspected,Requested,2024-05-18 14:11:00,
REF000072,PAY0000434,MER000059,27727,Service Unavailable,Completed,2024-11-30 10:48:00,2024-12-02 22:48:00
REF000073,PAY0000168,MER000061,23035,Order Cancelled,Requested,2024-01-20 23:34:00,
REF000074,PAY0001332,MER000009,16305,Order Cancelled,Requested,2025-10-29 01:48:00,
REF000075,PAY0000042,MER000020,30576,Service Unavailable,Completed,2024-09-01 04:30:00,2024-09-05 07:30:00
REF000076,PAY0000756,MER000022,7184,Customer Request,Completed,2025-09-12 19:47:00,2025-09-13 23:47:00
REF000077,PAY0000639,MER000049,45360,Order Cancelled,Requested,2025-02-10 22:12:00,
REF000078,PAY0000209,MER000039,37188,Customer Request,Requested,2025-12-01 19:51:00,
REF000079,PAY0000712,MER000069,42537,Fraud Suspected,Requested,2025-03-14 21:23:00,
REF000080,PAY0000026,MER000054,46454,Product Returned,Failed,2025-05-16 03:27:00,2025-05-21 10:27:00
REF000081,PAY0000892,MER000023,31786,Technical Issue,Completed,2025-06-18 20:17:00,2025-06-23 08:17:00
REF000082,PAY0000893,MER000035,16081,Technical Issue,Completed,2024-11-26 07:53:00,2024-11-28 14:53:00
REF000083,PAY0001168,MER000049,14001,Fraud Suspected,Completed,2024-12-10 00:31:00,2024-12-11 07:31:00
REF000084,PAY0000530,MER000044,33957,Order Cancelled,Completed,2024-10-13 19:44:00,2024-10-17 19:44:00
REF000085,PAY0000176,MER000031,42429,Technical Issue,Completed,2025-02-20 15:35:00,2025-02-25 22:35:00
REF000086,PAY0000918,MER000003,43613,Fraud Suspected,Completed,2024-04-05 09:14:00,2024-04-06 13:14:00
REF000087,PAY0000970,MER000068,29836,Service Unavailable,Completed,2024-12-18 13:47:00,2024-12-21 00:47:00
REF000088,PAY0000628,MER000033,35218,Product Returned,Approved,2024-08-24 03:46:00,2024-08-24 14:46:00
REF000089,PAY0000393,MER000028,18646,Duplicate Payment,Completed,2025-05-10 08:46:00,2025-05-14 17:46:00
REF000090,PAY0000398,MER000038,8395,Service Unavailable,Completed,2024-08-20 11:11:00,2024-08-25 19:11:00
REF000091,PAY0000094,MER000007,32270,Duplicate Payment,Completed,2025-07-20 09:44:00,2025-07-25 21:44:00
REF000092,PAY0000026,MER000037,31408,Duplicate Payment,Completed,2025-04-25 15:28:00,2025-04-25 19:28:00
REF000093,PAY0000134,MER000052,9877,Service Unavailable,Completed,2025-05-18 02:36:00,2025-05-18 04:36:00
REF000094,PAY0000175,MER000032,40628,Order Cancelled,Completed,2024-05-01 17:48:00,2024-05-06 05:48:00
REF000095,PAY0001071,MER000049,37365,Customer Request,Completed,2025-04-06 14:19:00,2025-04-09 18:19:00
REF000096,PAY0001249,MER000013,15819,Product Returned,Approved,2024-07-31 20:13:00,2024-07-31 22:13:00
REF000097,PAY0001131,MER000010,19187,Customer Request,Completed,2024-06-09 00:26:00,2024-06-13 07:26:00
REF000098,PAY0000475,MER000037,17437,Order Cancelled,Completed,2024-10-16 22:55:00,2024-10-22 01:55:00
REF000099,PAY0000871,MER000015,17508,Product Returned,Requested,2025-07-11 07:41:00,
REF000100,PAY0000147,MER000008,28880,Duplicate Payment,Completed,2024-06-18 09:38:00,2024-06-22 13:38:00
REF000101,PAY0000960,MER000039,39292,Customer Request,Completed,2025-02-16 08:32:00,2025-02-19 09:32:00
REF000102,PAY0000885,MER000042,44290,Customer Request,Requested,2025-09-10 08:01:00,
REF000103,PAY0001377,MER000035,42797,Technical Issue,Completed,2025-08-13 01:48:00,2025-08-16 09:48:00
REF000104,PAY0000570,MER000024,22903,Pricing Error,Completed,2025-08-22 13:40:00,2025-08-22 20:40:00
REF000105,PAY0000683,MER000042,32571,Service Unavailable,Approved,2025-11-17 03:54:00,2025-11-20 14:54:00
REF000106,PAY0001357,MER000052,16641,Fraud Suspected,Requested,2025-07-17 01:29:00,
REF000107,PAY0000238,MER000052,3652,Order Cancelled,Completed,2025-06-10 00:42:00,2025-06-13 06:42:00
REF000108,PAY0001062,MER000047,17601,Product Returned,Completed,2025-09-29 15:40:00,2025-09-29 18:40:00
REF000109,PAY0000590,MER000057,15782,Product Returned,Failed,2025-05-11 03:01:00,2025-05-15 15:01:00
REF000110,PAY0000637,MER000002,7798,Product Returned,Approved,2025-07-19 13:05:00,2025-07-19 20:05:00
REF000111,PAY0001021,MER000038,16073,Technical Issue,Completed,2025-06-05 22:17:00,2025-06-09 05:17:00
REF000112,PAY0001129,MER000019,4675,Service Unavailable,Completed,2025-01-27 06:58:00,2025-02-01 08:58:00
REF000113,PAY0000850,MER000044,47682,Service Unavailable,Requested,2025-06-03 08:52:00,
REF000114,PAY0001203,MER000063,35714,Pricing Error,Completed,2024-06-01 14:34:00,2024-06-03 22:34:00
REF000115,PAY0000933,MER000042,27020,Customer Request,Completed,2024-07-12 22:15:00,2024-07-14 10:15:00
REF000116,PAY0000652,MER000061,32561,Customer Request,Completed,2025-01-25 12:42:00,2025-01-30 14:42:00
REF000117,PAY0000259,MER000065,28955,Duplicate Payment,Requested,2025-08-27 10:55:00,
REF000118,PAY0001078,MER000059,5003,Technical Issue,Completed,2024-01-16 23:09:00,2024-01-22 01:09:00
REF000119,PAY0000543,MER000044,35071,Pricing Error,Completed,2025-09-30 22:25:00,2025-10-03 08:25:00
REF000120,PAY0000649,MER000063,41463,Service Unavailable,Requested,2025-07-08 01:39:00,
REF000121,PAY0000466,MER000012,11002,Service Unavailable,Completed,2025-03-20 03:48:00,2025-03-20 10:48:00
REF000122,PAY0000060,MER000006,16103,Pricing Error,Completed,2024-11-28 01:18:00,2024-12-01 03:18:00
REF000123,PAY0001160,MER000024,44869,Order Cancelled,Completed,2024-06-23 05:05:00,2024-06-26 14:05:00
REF000124,PAY0001020,MER000019,715,Technical Issue,Approved,2024-08-25 14:40:00,2024-08-28 00:40:00
REF000125,PAY0000590,MER000070,41973,Pricing Error,Completed,2024-06-10 02:28:00,2024-06-14 06:28:00
REF000126,PAY0001414,MER000033,15645,Pricing Error,Failed,2025-04-12 09:12:00,2025-04-15 10:12:00
REF000127,PAY0001172,MER000046,18088,Customer Request,Approved,2025-08-11 09:44:00,2025-08-16 15:44:00
REF000128,PAY0001160,MER000007,15181,Fraud Suspected,Completed,2025-09-12 23:31:00,2025-09-15 11:31:00
REF000129,PAY0000449,MER000025,9063,Duplicate Payment,Completed,2025-09-27 08:43:00,2025-10-02 18:43:00
REF000130,PAY0001286,MER000006,6006,Service Unavailable,Completed,2024-11-12 14:02:00,2024-11-17 16:02:00
REF000131,PAY0000670,MER000054,32985,Service Unavailable,Completed,2024-06-28 06:08:00,2024-06-30 14:08:00
REF000132,PAY0000337,MER000033,5034,Product Returned,Completed,2025-05-08 09:47:00,2025-05-08 16:47:00
REF000133,PAY0000463,MER000051,35264,Duplicate Payment,Completed,2025-07-24 11:05:00,2025-07-24 15:05:00
REF000134,PAY0000932,MER000048,24444,Duplicate Payment,Approved,2025-11-19 23:43:00,2025-11-23 09:43:00
REF000135,PAY0001383,MER000030,40082,Order Cancelled,Completed,2025-04-27 00:39:00,2025-05-01 05:39:00
REF000136,PAY0001327,MER000009,7746,Product Returned,Completed,2025-10-12 14:58:00,2025-10-17 20:58:00
REF000137,PAY0000093,MER000005,35328,Product Returned,Requested,2024-11-07 15:07:00,
REF000138,PAY0000796,MER000059,38591,Product Returned,Completed,2025-01-14 21:47:00,2025-01-19 03:47:00
REF000139,PAY0000850,MER000013,45338,Fraud Suspected,Completed,2025-05-16 19:26:00,2025-05-18 19:26:00
REF000140,PAY0000445,MER000057,35782,Fraud Suspected,Completed,2025-03-31 07:54:00,2025-04-05 12:54:00
REF000141,PAY0000125,MER000051,43535,Order Cancelled,Completed,2024-10-09 06:07:00,2024-10-12 07:07:00
REF000142,PAY0001315,MER000003,4596,Order Cancelled,Failed,2024-02-21 10:15:00,2024-02-25 13:15:00
REF000143,PAY0001201,MER000028,39158,Customer Request,Requested,2024-08-26 10:49:00,
REF000144,PAY0000568,MER000019,1789,Product Returned,Completed,2024-05-13 17:16:00,2024-05-14 03:16:00
REF000145,PAY0000031,MER000046,17491,Customer Request,Requested,2024-08-31 18:20:00,
REF000146,PAY0000260,MER000054,29478,Fraud Suspected,Requested,2025-06-22 03:47:00,
REF000147,PAY0001052,MER000014,43281,Service Unavailable,Completed,2025-04-07 16:14:00,2025-04-08 03:14:00
REF000148,PAY0000939,MER000004,32230,Technical Issue,Completed,2024-03-03 15:54:00,2024-03-08 16:54:00
REF000149,PAY0000151,MER000011,18123,Fraud Suspected,Requested,2024-11-25 19:09:00,
REF000150,PAY0000781,MER000068,46091,Duplicate Payment,Completed,2024-10-28 14:32:00,2024-10-29 02:32:00
REF000151,PAY0001341,MER000028,26231,Pricing Error,Approved,2025-03-16 14:56:00,2025-03-18 21:56:00
REF000152,PAY0001495,MER000013,45111,Technical Issue,Completed,2024-11-16 13:20:00,2024-11-18 15:20:00
REF000153,PAY0000138,MER000012,48517,Fraud Suspected,Requested,2024-03-28 02:27:00,
REF000154,PAY0000267,MER000008,23273,Pricing Error,Completed,2025-08-23 17:35:00,2025-08-23 23:35:00
REF000155,PAY0001477,MER000007,14042,Product Returned,Completed,2024-10-21 19:19:00,2024-10-26 03:19:00
REF000156,PAY0001345,MER000062,18356,Order Cancelled,Completed,2024-08-17 03:22:00,2024-08-19 04:22:00
REF000157,PAY0000879,MER000004,18009,Service Unavailable,Completed,2025-09-15 21:53:00,2025-09-15 23:53:00
REF000158,PAY0000696,MER000045,43179,Pricing Error,Requested,2024-01-07 05:55:00,
REF000159,PAY0000143,MER000019,27614,Technical Issue,Completed,2025-10-10 00:05:00,2025-10-11 06:05:00
REF000160,PAY0000699,MER000021,5667,Customer Request,Completed,2025-01-13 09:46:00,2025-01-17 18:46:00
REF000161,PAY0000319,MER000021,29139,Pricing Error,Requested,2025-09-24 01:43:00,
REF000162,PAY0000995,MER000057,28274,Duplicate Payment,Completed,2025-02-28 08:13:00,2025-02-28 13:13:00
REF000163,PAY0000581,MER000063,26003,Customer Request,Requested,2025-06-23 21:19:00,
REF000164,PAY0000016,MER000027,16845,Service Unavailable,Requested,2024-11-04 06:49:00,
REF000165,PAY0000672,MER000016,35003,Order Cancelled,Completed,2024-01-08 15:47:00,2024-01-09 21:47:00
REF000166,PAY0001025,MER000046,30230,Duplicate Payment,Completed,2024-03-14 12:55:00,2024-03-17 12:55:00
REF000167,PAY0000642,MER000055,26644,Customer Request,Completed,2025-08-10 12:45:00,2025-08-12 13:45:00
REF000168,PAY0000666,MER000022,28720,Duplicate Payment,Completed,2025-09-24 14:53:00,2025-09-26 15:53:00
REF000169,PAY0000499,MER000056,20434,Fraud Suspected,Requested,2025-08-26 12:33:00,
REF000170,PAY0000454,MER000043,12807,Fraud Suspected,Completed,2024-06-21 02:32:00,2024-06-25 10:32:00
REF000171,PAY0000720,MER000019,10118,Duplicate Payment,Approved,2024-08-29 03:09:00,2024-08-30 12:09:00
REF000172,PAY0000363,MER000064,42239,Fraud Suspected,Completed,2025-04-20 18:48:00,2025-04-26 03:48:00
REF000173,PAY0001285,MER000041,18101,Customer Request,Completed,2024-06-03 14:04:00,2024-06-08 18:04:00
REF000174,PAY0000721,MER000065,18913,Duplicate Payment,Completed,2024-03-16 09:29:00,2024-03-16 14:29:00
REF000175,PAY0001321,MER000012,48525,Customer Request,Completed,2025-09-21 19:32:00,2025-09-26 03:32:00
REF000176,PAY0000922,MER000025,6883,Fraud Suspected,Completed,2024-11-25 19:30:00,2024-11-26 02:30:00
REF000177,PAY0001463,MER000011,46474,Technical Issue,Requested,2025-05-31 20:11:00,
REF000178,PAY0000900,MER000068,26889,Fraud Suspected,Completed,2025-06-19 19:10:00,2025-06-22 01:10:00
REF000179,PAY0001391,MER000007,6293,Pricing Error,Requested,2025-10-08 20:21:00,
REF000180,PAY0000582,MER000033,43590,Product Returned,Approved,2025-11-03 19:55:00,2025-11-04 04:55:00
REF000181,PAY0000717,MER000040,5652,Service Unavailable,Completed,2025-11-02 22:42:00,2025-11-07 09:42:00
REF000182,PAY0001145,MER000049,46160,Duplicate Payment,Requested,2025-10-20 10:52:00,
REF000183,PAY0001324,MER000055,22495,Technical Issue,Completed,2025-06-04 11:01:00,2025-06-05 14:01:00
REF000184,PAY0000394,MER000029,35474,Customer Request,Approved,2024-05-20 04:04:00,2024-05-20 12:04:00
REF000185,PAY0001356,MER000044,45506,Product Returned,Completed,2025-09-24 04:38:00,2025-09-25 06:38:00
REF000186,PAY0001477,MER000057,40115,Service Unavailable,Completed,2024-02-14 13:23:00,2024-02-15 20:23:00
REF000187,PAY0000920,MER000030,24206,Technical Issue,Failed,2025-06-30 07:19:00,2025-07-03 10:19:00
REF000188,PAY0000946,MER000037,39727,Product Returned,Completed,2025-01-26 16:33:00,2025-01-27 19:33:00
REF000189,PAY0000513,MER000007,33910,Duplicate Payment,Completed,2025-10-18 15:55:00,2025-10-19 02:55:00
REF000190,PAY0000584,MER000011,6110,Order Cancelled,Completed,2024-06-13 08:28:00,2024-06-14 14:28:00
REF000191,PAY0000924,MER000045,25407,Duplicate Payment,Completed,2024-01-28 13:03:00,2024-01-30 16:03:00
REF000192,PAY0000768,MER000029,46938,Fraud Suspected,Requested,2024-01-29 10:59:00,
REF000193,PAY0000300,MER000018,49831,Technical Issue,Completed,2024-02-09 09:58:00,2024-02-14 11:58:00
REF000194,PAY0000919,MER000001,47760,Pricing Error,Approved,2024-03-22 00:16:00,2024-03-23 08:16:00
REF000195,PAY0000228,MER000037,27613,Technical Issue,Requested,2024-08-31 09:07:00,
REF000196,PAY0000129,MER000015,33875,Order Cancelled,Requested,2025-05-26 19:34:00,
REF000197,PAY0001472,MER000019,27400,Product Returned,Completed,2024-10-25 13:00:00,2024-10-26 22:00:00
REF000198,PAY0001361,MER000011,33367,Customer Request,Failed,2025-06-20 11:04:00,2025-06-24 19:04:00
REF000199,PAY0000800,MER000061,1164,Fraud Suspected,Failed,2024-02-14 20:24:00,2024-02-17 07:24:00
REF000200,PAY0000139,MER000045,49689,Fraud Suspected,Completed,2024-09-03 23:42:00,2024-09-08 10:42:00
