event_id,payment_id,event_type,previous_status,current_status,event_timestamp,gateway_response_code,gateway_message,retry_count
EVT00000094,PAY0000025,PaymentCreated,NULL,Created,2024-11-19 12:17:00,100,Payment initiated,0
EVT00000095,PAY0000025,PaymentAuthorized,Created,Authorized,2024-11-19 12:19:00,200,Authorization successful,1
EVT00000096,PAY0000025,PaymentFailed,Authorized,Failed,2024-11-19 12:21:00,500,Transaction failed,2
EVT00000097,PAY0000026,PaymentCreated,NULL,Created,2025-08-03 22:20:00,100,Payment initiated,0
EVT00000098,PAY0000026,PaymentAuthorized,Created,Authorized,2025-08-03 22:22:00,200,Authorization successful,1
EVT00000099,PAY0000026,PaymentCaptured,Authorized,Captured,2025-08-03 22:24:00,201,Payment captured,2
EVT00000100,PAY0000026,PaymentSettled,Captured,Settled,2025-08-03 22:26:00,202,Settlement completed,3
EVT00000101,PAY0000027,PaymentCreated,NULL,Created,2025-05-26 12:56:00,100,Payment initiated,0
EVT00000102,PAY0000027,PaymentAuthorized,Created,Authorized,2025-05-26 12:58:00,200,Authorization successful,1
EVT00000103,PAY0000027,PaymentCaptured,Authorized,Captured,2025-05-26 13:00:00,201,Payment captured,2
EVT00000104,PAY0000027,PaymentSettled,Captured,Settled,2025-05-26 13:02:00,202,Settlement completed,3
EVT00000105,PAY0000028,PaymentCreated,NULL,Created,2025-04-14 04:16:00,100,Payment initiated,0
EVT00000106,PAY0000028,PaymentAuthorized,Created,Authorized,2025-04-14 04:18:00,200,Authorization successful,1
EVT00000107,PAY0000028,PaymentCaptured,Authorized,Captured,2025-04-14 04:20:00,201,Payment captured,2
EVT00000108,PAY0000028,PaymentSettled,Captured,Settled,2025-04-14 04:22:00,202,Settlement completed,3
EVT00000109,PAY0000029,PaymentCreated,NULL,Created,2025-07-28 17:16:00,100,Payment initiated,0
EVT00000110,PAY0000029,PaymentAuthorized,Created,Authorized,2025-07-28 17:18:00,200,Authorization successful,1
EVT00000111,PAY0000029,PaymentCaptured,Authorized,Captured,2025-07-28 17:20:00,201,Payment captured,2
EVT00000112,PAY0000029,PaymentSettled,Captured,Settled,2025-07-28 17:22:00,202,Settlement completed,3
EVT00000113,PAY0000030,PaymentCreated,NULL,Created,2025-03-14 18:25:00,100,Payment initiated,0
EVT00000114,PAY0000030,PaymentAuthorized,Created,Authorized,2025-03-14 18:27:00,200,Authorization successful,1
EVT00000115,PAY0000030,PaymentCaptured,Authorized,Captured,2025-03-14 18:29:00,201,Payment captured,2
EVT00000116,PAY0000030,PaymentSettled,Captured,Settled,2025-03-14 18:31:00,202,Settlement completed,3
EVT00000117,PAY0000031,PaymentCreated,NULL,Created,2024-05-21 16:31:00,100,Payment initiated,0
EVT00000118,PAY0000031,PaymentAuthorized,Created,Authorized,2024-05-21 16:33:00,200,Authorization successful,1
EVT00000119,PAY0000031,PaymentFailed,Authorized,Failed,2024-05-21 16:35:00,500,Transaction failed,2
EVT00000120,PAY0000032,PaymentCreated,NULL,Created,2024-02-18 03:09:00,100,Payment initiated,0
EVT00000121,PAY0000032,PaymentAuthorized,Created,Authorized,2024-02-18 03:11:00,200,Authorization successful,1
EVT00000122,PAY0000032,PaymentCaptured,Authorized,Captured,2024-02-18 03:13:00,201,Payment captured,2
EVT00000123,PAY0000032,PaymentSettled,Captured,Settled,2024-02-18 03:15:00,202,Settlement completed,3
EVT00000124,PAY0000033,PaymentCreated,NULL,Created,2025-11-27 13:38:00,100,Payment initiated,0
EVT00000125,PAY0000033,PaymentAuthorized,Created,Authorized,2025-11-27 13:40:00,200,Authorization successful,1
EVT00000126,PAY0000033,PaymentFailed,Authorized,Failed,2025-11-27 13:42:00,500,Transaction failed,2
EVT00000127,PAY0000034,PaymentCreated,NULL,Created,2025-01-25 19:29:00,100,Payment initiated,0
EVT00000128,PAY0000034,PaymentAuthorized,Created,Authorized,2025-01-25 19:31:00,200,Authorization successful,1
EVT00000129,PAY0000034,PaymentCaptured,Authorized,Captured,2025-01-25 19:33:00,201,Payment captured,2
EVT00000130,PAY0000034,PaymentSettled,Captured,Settled,2025-01-25 19:35:00,202,Settlement completed,3
EVT00000131,PAY0000035,PaymentCreated,NULL,Created,2025-07-20 00:43:00,100,Payment initiated,0
EVT00000132,PAY0000035,PaymentAuthorized,Created,Authorized,2025-07-20 00:45:00,200,Authorization successful,1
EVT00000133,PAY0000035,PaymentCaptured,Authorized,Captured,2025-07-20 00:47:00,201,Payment captured,2
EVT00000134,PAY0000035,PaymentSettled,Captured,Settled,2025-07-20 00:49:00,202,Settlement completed,3
EVT00000135,PAY0000036,PaymentCreated,NULL,Created,2025-11-29 17:48:00,100,Payment initiated,0
EVT00000136,PAY0000036,PaymentAuthorized,Created,Authorized,2025-11-29 17:50:00,200,Authorization successful,1
EVT00000137,PAY0000036,PaymentCaptured,Authorized,Captured,2025-11-29 17:52:00,201,Payment captured,2
EVT00000138,PAY0000036,PaymentSettled,Captured,Settled,2025-11-29 17:54:00,202,Settlement completed,3
EVT00000139,PAY0000037,PaymentCreated,NULL,Created,2025-10-18 10:07:00,100,Payment initiated,0
EVT00000140,PAY0000037,PaymentAuthorized,Created,Authorized,2025-10-18 10:09:00,200,Authorization successful,1
EVT00000141,PAY0000037,PaymentCaptured,Authorized,Captured,2025-10-18 10:11:00,201,Payment captured,2
EVT00000142,PAY0000037,PaymentSettled,Captured,Settled,2025-10-18 10:13:00,202,Settlement completed,3
EVT00000143,PAY0000038,PaymentCreated,NULL,Created,2024-06-10 14:00:00,100,Payment initiated,0
EVT00000144,PAY0000038,PaymentAuthorized,Created,Authorized,2024-06-10 14:02:00,200,Authorization successful,1
EVT00000145,PAY0000038,PaymentCaptured,Authorized,Captured,2024-06-10 14:04:00,201,Payment captured,2
EVT00000146,PAY0000038,PaymentSettled,Captured,Settled,2024-06-10 14:06:00,202,Settlement completed,3
EVT00000147,PAY0000039,PaymentCreated,NULL,Created,2024-09-26 16:48:00,100,Payment initiated,0
EVT00000148,PAY0000039,PaymentAuthorized,Created,Authorized,2024-09-26 16:50:00,200,Authorization successful,1
EVT00000149,PAY0000039,PaymentCaptured,Authorized,Captured,2024-09-26 16:52:00,201,Payment captured,2
EVT00000150,PAY0000039,PaymentSettled,Captured,Settled,2024-09-26 16:54:00,202,Settlement completed,3
EVT00000151,PAY0000040,PaymentCreated,NULL,Created,2024-04-18 20:19:00,100,Payment initiated,0
EVT00000152,PAY0000040,PaymentAuthorized,Created,Authorized,2024-04-18 20:21:00,200,Authorization successful,1
EVT00000153,PAY0000040,PaymentCaptured,Authorized,Captured,2024-04-18 20:23:00,201,Payment captured,2
EVT00000154,PAY0000040,PaymentSettled,Captured,Settled,2024-04-18 20:25:00,202,Settlement completed,3
EVT00000155,PAY0000041,PaymentCreated,NULL,Created,2025-06-03 19:12:00,100,Payment initiated,0
EVT00000156,PAY0000041,PaymentAuthorized,Created,Authorized,2025-06-03 19:14:00,200,Authorization successful,1
EVT00000157,PAY0000041,PaymentCaptured,Authorized,Captured,2025-06-03 19:16:00,201,Payment captured,2
EVT00000158,PAY0000041,PaymentSettled,Captured,Settled,2025-06-03 19:18:00,202,Settlement completed,3
EVT00000159,PAY0000042,PaymentCreated,NULL,Created,2024-06-14 17:49:00,100,Payment initiated,0
EVT00000160,PAY0000042,PaymentAuthorized,Created,Authorized,2024-06-14 17:51:00,200,Authorization successful,1
EVT00000161,PAY0000042,PaymentCaptured,Authorized,Captured,2024-06-14 17:53:00,201,Payment captured,2
EVT00000162,PAY0000042,PaymentSettled,Captured,Settled,2024-06-14 17:55:00,202,Settlement completed,3
EVT00000163,PAY0000043,PaymentCreated,NULL,Created,2024-01-01 19:20:00,100,Payment initiated,0
EVT00000164,PAY0000043,PaymentAuthorized,Created,Authorized,2024-01-01 19:22:00,200,Authorization successful,1
EVT00000165,PAY0000043,PaymentCaptured,Authorized,Captured,2024-01-01 19:24:00,201,Payment captured,2
EVT00000166,PAY0000043,PaymentSettled,Captured,Settled,2024-01-01 19:26:00,202,Settlement completed,3
EVT00000167,PAY0000044,PaymentCreated,NULL,Created,2024-04-24 11:56:00,100,Payment initiated,0
EVT00000168,PAY0000044,PaymentAuthorized,Created,Authorized,2024-04-24 11:58:00,200,Authorization successful,1
EVT00000169,PAY0000044,PaymentCaptured,Authorized,Captured,2024-04-24 12:00:00,201,Payment captured,2
EVT00000170,PAY0000044,PaymentSettled,Captured,Settled,2024-04-24 12:02:00,202,Settlement completed,3
EVT00000171,PAY0000045,PaymentCreated,NULL,Created,2024-11-10 07:03:00,100,Payment initiated,0
EVT00000172,PAY0000045,PaymentAuthorized,Created,Authorized,2024-11-10 07:05:00,200,Authorization successful,1
EVT00000173,PAY0000045,PaymentCaptured,Authorized,Captured,2024-11-10 07:07:00,201,Payment captured,2
EVT00000174,PAY0000045,PaymentSettled,Captured,Settled,2024-11-10 07:09:00,202,Settlement completed,3
EVT00000175,PAY0000046,PaymentCreated,NULL,Created,2025-08-03 02:05:00,100,Payment initiated,0
EVT00000176,PAY0000046,PaymentAuthorized,Created,Authorized,2025-08-03 02:07:00,200,Authorization successful,1
EVT00000177,PAY0000046,PaymentCaptured,Authorized,Captured,2025-08-03 02:09:00,201,Payment captured,2
EVT00000178,PAY0000046,PaymentSettled,Captured,Settled,2025-08-03 02:11:00,202,Settlement completed,3
EVT00000179,PAY0000047,PaymentCreated,NULL,Created,2024-03-11 17:49:00,100,Payment initiated,0
EVT00000180,PAY0000047,PaymentAuthorized,Created,Authorized,2024-03-11 17:51:00,200,Authorization successful,1
EVT00000181,PAY0000047,PaymentCaptured,Authorized,Captured,2024-03-11 17:53:00,201,Payment captured,2
EVT00000182,PAY0000047,PaymentSettled,Captured,Settled,2024-03-11 17:55:00,202,Settlement completed,3
EVT00000183,PAY0000048,PaymentCreated,NULL,Created,2025-11-06 15:35:00,100,Payment initiated,0
EVT00000184,PAY0000048,PaymentAuthorized,Created,Authorized,2025-11-06 15:37:00,200,Authorization successful,1
EVT00000185,PAY0000048,PaymentCaptured,Authorized,Captured,2025-11-06 15:39:00,201,Payment captured,2
EVT00000186,PAY0000048,PaymentSettled,Captured,Settled,2025-11-06 15:41:00,202,Settlement completed,3
EVT00000187,PAY0000049,PaymentCreated,NULL,Created,2025-06-24 19:27:00,100,Payment initiated,0
EVT00000188,PAY0000049,PaymentAuthorized,Created,Authorized,2025-06-24 19:29:00,200,Authorization successful,1
EVT00000189,PAY0000049,PaymentCaptured,Authorized,Captured,2025-06-24 19:31:00,201,Payment captured,2
EVT00000190,PAY0000049,PaymentSettled,Captured,Settled,2025-06-24 19:33:00,202,Settlement completed,3
EVT00000191,PAY0000050,PaymentCreated,NULL,Created,2025-07-06 23:44:00,100,Payment initiated,0
EVT00000192,PAY0000050,PaymentAuthorized,Created,Authorized,2025-07-06 23:46:00,200,Authorization successful,1
EVT00000193,PAY0000050,PaymentCaptured,Authorized,Captured,2025-07-06 23:48:00,201,Payment captured,2
EVT00000194,PAY0000050,PaymentSettled,Captured,Settled,2025-07-06 23:50:00,202,Settlement completed,3
EVT00000195,PAY0000051,PaymentCreated,NULL,Created,2024-11-15 12:42:00,100,Payment initiated,0
EVT00000196,PAY0000051,PaymentAuthorized,Created,Authorized,2024-11-15 12:44:00,200,Authorization successful,1
EVT00000197,PAY0000051,PaymentCaptured,Authorized,Captured,2024-11-15 12:46:00,201,Payment captured,2
EVT00000198,PAY0000051,PaymentSettled,Captured,Settled,2024-11-15 12:48:00,202,Settlement completed,3
EVT00000199,PAY0000052,PaymentCreated,NULL,Created,2025-03-24 16:28:00,100,Payment initiated,0
EVT00000200,PAY0000052,PaymentAuthorized,Created,Authorized,2025-03-24 16:30:00,200,Authorization successful,1
EVT00000201,PAY0000052,PaymentCaptured,Authorized,Captured,2025-03-24 16:32:00,201,Payment captured,2
EVT00000202,PAY0000052,PaymentSettled,Captured,Settled,2025-03-24 16:34:00,202,Settlement completed,3
EVT00000203,PAY0000053,PaymentCreated,NULL,Created,2024-08-18 02:21:00,100,Payment initiated,0
EVT00000204,PAY0000053,PaymentAuthorized,Created,Authorized,2024-08-18 02:23:00,200,Authorization successful,1
EVT00000205,PAY0000053,PaymentFailed,Authorized,Failed,2024-08-18 02:25:00,500,Transaction failed,2
EVT00000206,PAY0000054,PaymentCreated,NULL,Created,2025-07-21 07:37:00,100,Payment initiated,0
EVT00000207,PAY0000054,PaymentAuthorized,Created,Authorized,2025-07-21 07:39:00,200,Authorization successful,1
EVT00000208,PAY0000054,PaymentCaptured,Authorized,Captured,2025-07-21 07:41:00,201,Payment captured,2
EVT00000209,PAY0000054,PaymentSettled,Captured,Settled,2025-07-21 07:43:00,202,Settlement completed,3
EVT00000210,PAY0000055,PaymentCreated,NULL,Created,2024-03-13 22:40:00,100,Payment initiated,0
EVT00000211,PAY0000055,PaymentAuthorized,Created,Authorized,2024-03-13 22:42:00,200,Authorization successful,1
EVT00000212,PAY0000055,PaymentFailed,Authorized,Failed,2024-03-13 22:44:00,500,Transaction failed,2
EVT00000213,PAY0000056,PaymentCreated,NULL,Created,2024-03-10 01:55:00,100,Payment initiated,0
EVT00000214,PAY0000056,PaymentAuthorized,Created,Authorized,2024-03-10 01:57:00,200,Authorization successful,1
EVT00000215,PAY0000056,PaymentCaptured,Authorized,Captured,2024-03-10 01:59:00,201,Payment captured,2
EVT00000216,PAY0000056,PaymentSettled,Captured,Settled,2024-03-10 02:01:00,202,Settlement completed,3
EVT00000217,PAY0000057,PaymentCreated,NULL,Created,2025-06-10 07:17:00,100,Payment initiated,0
EVT00000218,PAY0000057,PaymentAuthorized,Created,Authorized,2025-06-10 07:19:00,200,Authorization successful,1
EVT00000219,PAY0000057,PaymentCaptured,Authorized,Captured,2025-06-10 07:21:00,201,Payment captured,2
EVT00000220,PAY0000057,PaymentSettled,Captured,Settled,2025-06-10 07:23:00,202,Settlement completed,3
EVT00000221,PAY0000058,PaymentCreated,NULL,Created,2024-08-07 17:08:00,100,Payment initiated,0
EVT00000222,PAY0000058,PaymentAuthorized,Created,Authorized,2024-08-07 17:10:00,200,Authorization successful,1
EVT00000223,PAY0000058,PaymentCaptured,Authorized,Captured,2024-08-07 17:12:00,201,Payment captured,2
EVT00000224,PAY0000058,PaymentSettled,Captured,Settled,2024-08-07 17:14:00,202,Settlement completed,3
EVT00000225,PAY0000059,PaymentCreated,NULL,Created,2025-08-07 18:30:00,100,Payment initiated,0
EVT00000226,PAY0000059,PaymentAuthorized,Created,Authorized,2025-08-07 18:32:00,200,Authorization successful,1
EVT00000227,PAY0000059,PaymentCaptured,Authorized,Captured,2025-08-07 18:34:00,201,Payment captured,2
EVT00000228,PAY0000059,PaymentSettled,Captured,Settled,2025-08-07 18:36:00,202,Settlement completed,3
EVT00000229,PAY0000060,PaymentCreated,NULL,Created,2025-04-29 13:12:00,100,Payment initiated,0
EVT00000230,PAY0000060,PaymentAuthorized,Created,Authorized,2025-04-29 13:14:00,200,Authorization successful,1
EVT00000231,PAY0000060,PaymentFailed,Authorized,Failed,2025-04-29 13:16:00,500,Transaction failed,2
EVT00000232,PAY0000061,PaymentCreated,NULL,Created,2025-11-05 13:22:00,100,Payment initiated,0
EVT00000233,PAY0000061,PaymentAuthorized,Created,Authorized,2025-11-05 13:24:00,200,Authorization successful,1
EVT00000234,PAY0000061,PaymentCaptured,Authorized,Captured,2025-11-05 13:26:00,201,Payment captured,2
EVT00000235,PAY0000061,PaymentSettled,Captured,Settled,2025-11-05 13:28:00,202,Settlement completed,3
EVT00000236,PAY0000062,PaymentCreated,NULL,Created,2025-04-23 23:03:00,100,Payment initiated,0
EVT00000237,PAY0000062,PaymentAuthorized,Created,Authorized,2025-04-23 23:05:00,200,Authorization successful,1
EVT00000238,PAY0000062,PaymentCaptured,Authorized,Captured,2025-04-23 23:07:00,201,Payment captured,2
EVT00000239,PAY0000062,PaymentSettled,Captured,Settled,2025-04-23 23:09:00,202,Settlement completed,3
EVT00000240,PAY0000063,PaymentCreated,NULL,Created,2025-10-23 03:03:00,100,Payment initiated,0
EVT00000241,PAY0000063,PaymentAuthorized,Created,Authorized,2025-10-23 03:05:00,200,Authorization successful,1
EVT00000242,PAY0000063,PaymentCaptured,Authorized,Captured,2025-10-23 03:07:00,201,Payment captured,2
EVT00000243,PAY0000063,PaymentSettled,Captured,Settled,2025-10-23 03:09:00,202,Settlement completed,3
EVT00000244,PAY0000064,PaymentCreated,NULL,Created,2024-12-13 03:15:00,100,Payment initiated,0
EVT00000245,PAY0000064,PaymentAuthorized,Created,Authorized,2024-12-13 03:17:00,200,Authorization successful,1
EVT00000246,PAY0000064,PaymentCaptured,Authorized,Captured,2024-12-13 03:19:00,201,Payment captured,2
EVT00000247,PAY0000064,PaymentSettled,Captured,Settled,2024-12-13 03:21:00,202,Settlement completed,3
EVT00000248,PAY0000065,PaymentCreated,NULL,Created,2025-07-03 14:08:00,100,Payment initiated,0
EVT00000249,PAY0000065,PaymentAuthorized,Created,Authorized,2025-07-03 14:10:00,200,Authorization successful,1
EVT00000250,PAY0000065,PaymentCaptured,Authorized,Captured,2025-07-03 14:12:00,201,Payment captured,2
EVT00000251,PAY0000065,PaymentSettled,Captured,Settled,2025-07-03 14:14:00,202,Settlement completed,3
EVT00000252,PAY0000066,PaymentCreated,NULL,Created,2024-10-12 14:15:00,100,Payment initiated,0
EVT00000253,PAY0000066,PaymentAuthorized,Created,Authorized,2024-10-12 14:17:00,200,Authorization successful,1
EVT00000254,PAY0000066,PaymentCaptured,Authorized,Captured,2024-10-12 14:19:00,201,Payment captured,2
EVT00000255,PAY0000066,PaymentSettled,Captured,Settled,2024-10-12 14:21:00,202,Settlement completed,3
