invoice_id,merchant_id,customer_id,invoice_number,invoice_amount,currency,due_date,invoice_status,created_at,paid_at
INV0000043,MER000056,CUS000033,INV-2024-000043,473,INR,2024-03-09,Paid,2024-02-10 11:13:00,2024-02-13 11:13:00
INV0000044,MER000046,CUS000200,INV-2024-000044,7659,INR,2025-10-11,Partially Paid,2025-09-27 23:09:00,2025-10-09 23:09:00
INV0000045,MER000023,CUS000226,INV-2024-000045,3939,INR,2025-01-03,Partially Paid,2024-12-06 13:51:00,2024-12-31 13:51:00
INV0000046,MER000032,CUS000069,INV-2024-000046,818,INR,2024-04-28,Partially Paid,2024-04-20 12:55:00,2024-04-23 12:55:00
INV0000047,MER000026,CUS000210,INV-2024-000047,32916,INR,2024-11-15,Paid,2024-11-08 07:14:00,2024-11-14 07:14:00
INV0000048,MER000043,CUS000072,INV-2024-000048,28293,INR,2025-01-13,Paid,2024-12-25 20:32:00,2025-01-11 20:32:00
INV0000049,MER000043,CUS000241,INV-2024-000049,998,INR,2024-10-09,Paid,2024-09-24 05:37:00,2024-10-07 05:37:00
INV0000050,MER000045,CUS000187,INV-2024-000050,38600,INR,2025-10-01,Partially Paid,2025-09-12 16:07:00,2025-09-18 16:07:00
INV0000051,MER000033,CUS000012,INV-2024-000051,10111,INR,2025-07-16,Overdue,2025-06-16 17:43:00,
INV0000052,MER000026,CUS000094,INV-2024-000052,6410,INR,2025-10-10,Pending,2025-09-30 10:42:00,
INV0000053,MER000039,CUS000130,INV-2024-000053,7692,INR,2024-12-16,Paid,2024-11-30 12:44:00,2024-12-06 12:44:00
INV0000054,MER000054,CUS000171,INV-2024-000054,21406,INR,2025-10-11,Paid,2025-09-22 18:19:00,2025-09-22 18:19:00
INV0000055,MER000039,CUS000074,INV-2024-000055,6280,INR,2025-05-19,Paid,2025-04-21 14:28:00,2025-05-06 14:28:00
INV0000056,MER000022,CUS000169,INV-2024-000056,627,INR,2025-11-27,Paid,2025-11-10 20:39:00,2025-11-17 20:39:00
INV0000057,MER000040,CUS000058,INV-2024-000057,19657,INR,2024-02-17,Paid,2024-01-26 01:15:00,2024-01-28 01:15:00
INV0000058,MER000059,CUS000107,INV-2024-000058,47728,INR,2024-08-06,Paid,2024-07-18 22:44:00,2024-07-25 22:44:00
INV0000059,MER000019,CUS000168,INV-2024-000059,2747,INR,2025-04-09,Paid,2025-03-11 07:11:00,2025-03-12 07:11:00
INV0000060,MER000032,CUS000235,INV-2024-000060,39915,INR,2024-06-08,Cancelled,2024-05-16 14:42:00,
INV0000061,MER000041,CUS000244,INV-2024-000061,39005,INR,2025-10-12,Paid,2025-09-19 23:57:00,2025-10-06 23:57:00
INV0000062,MER000058,CUS000230,INV-2024-000062,982,INR,2025-05-15,Pending,2025-05-01 14:16:00,
INV0000063,MER000036,CUS000197,INV-2024-000063,41759,INR,2025-10-24,Paid,2025-10-03 07:17:00,2025-10-12 07:17:00
INV0000064,MER000031,CUS000070,INV-2024-000064,9850,INR,2024-04-06,Paid,2024-03-23 04:09:00,2024-03-25 04:09:00
INV0000065,MER000028,CUS000017,INV-2024-000065,6422,INR,2025-07-17,Paid,2025-07-09 14:26:00,2025-07-15 14:26:00
INV0000066,MER000050,CUS000232,INV-2024-000066,11281,INR,2025-08-19,Overdue,2025-08-12 12:30:00,
INV0000067,MER000039,CUS000193,INV-2024-000067,7866,INR,2025-07-29,Pending,2025-07-05 23:47:00,
INV0000068,MER000029,CUS000125,INV-2024-000068,8141,INR,2025-05-29,Paid,2025-05-12 00:24:00,2025-05-24 00:24:00
INV0000069,MER000022,CUS000216,INV-2024-000069,3092,INR,2025-10-18,Paid,2025-09-29 17:01:00,2025-09-29 17:01:00
INV0000070,MER000011,CUS000165,INV-2024-000070,8565,INR,2024-07-24,Paid,2024-07-05 01:16:00,2024-07-19 01:16:00
INV0000071,MER000042,CUS000087,INV-2024-000071,34847,INR,2024-10-20,Paid,2024-10-11 13:16:00,2024-10-19 13:16:00
INV0000072,MER000007,CUS000244,INV-2024-000072,2125,INR,2025-11-05,Overdue,2025-10-29 01:48:00,
INV0000073,MER000026,CUS000215,INV-2024-000073,256,INR,2024-09-29,Paid,2024-09-01 04:30:00,2024-09-07 04:30:00
INV0000074,MER000060,CUS000180,INV-2024-000074,7044,INR,2024-07-20,Pending,2024-06-20 19:38:00,
INV0000075,MER000021,CUS000247,INV-2024-000075,1421,INR,2024-12-04,Paid,2024-11-15 18:43:00,2024-11-21 18:43:00
INV0000076,MER000010,CUS000152,INV-2024-000076,4979,INR,2024-04-30,Partially Paid,2024-04-14 22:49:00,2024-04-17 22:49:00
INV0000077,MER000006,CUS000089,INV-2024-000077,7072,INR,2024-03-28,Paid,2024-03-11 16:41:00,2024-03-24 16:41:00
INV0000078,MER000063,CUS000028,INV-2024-000078,6935,INR,2025-10-23,Paid,2025-10-12 14:45:00,2025-10-23 14:45:00
INV0000079,MER000067,CUS000248,INV-2024-000079,9818,INR,2025-06-09,Paid,2025-05-10 14:27:00,2025-05-20 14:27:00
INV0000080,MER000032,CUS000213,INV-2024-000080,28280,INR,2025-04-27,Paid,2025-04-06 07:48:00,2025-04-27 07:48:00
INV0000081,MER000049,CUS000087,INV-2024-000081,971,INR,2024-12-11,Paid,2024-11-28 05:31:00,2024-12-02 05:31:00
INV0000082,MER000044,CUS000072,INV-2024-000082,28106,INR,2025-08-05,Paid,2025-07-23 00:33:00,2025-08-03 00:33:00
INV0000083,MER000053,CUS000126,INV-2024-000083,4938,INR,2025-05-24,Paid,2025-05-02 20:45:00,2025-05-02 20:45:00
INV0000084,MER000012,CUS000076,INV-2024-000084,4987,INR,2024-11-27,Paid,2024-11-09 21:37:00,2024-11-25 21:37:00
INV0000085,MER000045,CUS000109,INV-2024-000085,194282,INR,2024-12-25,Paid,2024-12-04 11:44:00,2024-12-12 11:44:00
INV0000086,MER000030,CUS000031,INV-2024-000086,30680,INR,2024-05-31,Paid,2024-05-02 23:34:00,2024-05-08 23:34:00
INV0000087,MER000062,CUS000071,INV-2024-000087,44383,INR,2025-09-16,Paid,2025-09-03 09:06:00,2025-09-08 09:06:00
INV0000088,MER000023,CUS000078,INV-2024-000088,646,INR,2024-05-17,Paid,2024-05-09 08:02:00,2024-05-11 08:02:00
INV0000089,MER000063,CUS000027,INV-2024-000089,47622,INR,2024-11-08,Paid,2024-10-18 15:30:00,2024-10-19 15:30:00
INV0000090,MER000033,CUS000241,INV-2024-000090,17477,INR,2024-03-16,Paid,2024-03-07 12:31:00,2024-03-07 12:31:00
INV0000091,MER000020,CUS000039,INV-2024-000091,29913,INR,2024-04-21,Pending,2024-03-28 07:07:00,
INV0000092,MER000029,CUS000199,INV-2024-000092,8382,INR,2025-04-23,Cancelled,2025-03-29 09:55:00,
INV0000093,MER000040,CUS000146,INV-2024-000093,2626,INR,2024-08-15,Paid,2024-07-31 20:13:00,2024-08-05 20:13:00
INV0000094,MER000031,CUS000045,INV-2024-000094,3565,INR,2024-02-01,Paid,2024-01-03 13:28:00,2024-01-12 13:28:00
INV0000095,MER000005,CUS000060,INV-2024-000095,5633,INR,2025-04-23,Partially Paid,2025-04-09 02:43:00,2025-04-21 02:43:00
INV0000096,MER000026,CUS000109,INV-2024-000096,330,INR,2025-11-09,Pending,2025-10-25 04:58:00,
INV0000097,MER000010,CUS000016,INV-2024-000097,414,INR,2025-09-26,Partially Paid,2025-09-01 23:52:00,2025-09-15 23:52:00
INV0000098,MER000016,CUS000120,INV-2024-000098,7595,INR,2024-10-27,Paid,2024-10-05 16:34:00,2024-10-24 16:34:00
INV0000099,MER000006,CUS000228,INV-2024-000099,6281,INR,2025-09-19,Paid,2025-09-10 08:01:00,2025-09-19 08:01:00
INV0000100,MER000003,CUS000196,INV-2024-000100,5416,INR,2025-08-25,Paid,2025-08-13 01:48:00,2025-08-23 01:48:00
INV0000101,MER000057,CUS000235,INV-2024-000101,8142,INR,2025-11-03,Paid,2025-10-12 15:05:00,2025-10-22 15:05:00
INV0000102,MER000042,CUS000172,INV-2024-000102,264,INR,2024-12-25,Paid,2024-12-03 13:44:00,2024-12-15 13:44:00
INV0000103,MER000005,CUS000117,INV-2024-000103,358,INR,2024-12-16,Partially Paid,2024-11-27 03:49:00,2024-11-27 03:49:00
INV0000104,MER000070,CUS000119,INV-2024-000104,4074,INR,2025-07-06,Paid,2025-06-14 11:39:00,2025-06-15 11:39:00
INV0000105,MER000027,CUS000069,INV-2024-000105,5720,INR,2025-04-03,Paid,2025-03-24 22:31:00,2025-04-03 22:31:00
INV0000106,MER000031,CUS000182,INV-2024-000106,664,INR,2024-01-24,Paid,2024-01-15 17:26:00,2024-01-16 17:26:00
INV0000107,MER000060,CUS000243,INV-2024-000107,952,INR,2024-07-05,Paid,2024-06-06 15:59:00,2024-06-28 15:59:00
INV0000108,MER000035,CUS000107,INV-2024-000108,40948,INR,2024-09-17,Paid,2024-09-06 14:35:00,2024-09-15 14:35:00
INV0000109,MER000066,CUS000192,INV-2024-000109,14576,INR,2024-11-01,Paid,2024-10-09 13:21:00,2024-10-09 13:21:00
INV0000110,MER000037,CUS000186,INV-2024-000110,9023,INR,2024-06-23,Paid,2024-06-01 14:34:00,2024-06-18 14:34:00
INV0000111,MER000070,CUS000097,INV-2024-000111,6273,INR,2024-08-06,Paid,2024-07-12 22:15:00,2024-08-05 22:15:00
INV0000112,MER000053,CUS000012,INV-2024-000112,8750,INR,2025-02-21,Cancelled,2025-01-25 12:42:00,
INV0000113,MER000064,CUS000247,INV-2024-000113,614,INR,2025-09-06,Partially Paid,2025-08-27 10:55:00,2025-09-03 10:55:00
INV0000114,MER000013,CUS000135,INV-2024-000114,11006,INR,2024-06-23,Overdue,2024-05-27 13:55:00,
INV0000115,MER000010,CUS000121,INV-2024-000115,27369,INR,2024-12-31,Paid,2024-12-12 19:44:00,2024-12-22 19:44:00
INV0000116,MER000069,CUS000098,INV-2024-000116,214312,INR,2025-06-09,Paid,2025-05-14 17:02:00,2025-06-03 17:02:00
INV0000117,MER000037,CUS000059,INV-2024-000117,38441,INR,2024-04-20,Paid,2024-04-10 20:45:00,2024-04-14 20:45:00
INV0000118,MER000004,CUS000012,INV-2024-000118,1920,INR,2024-11-16,Paid,2024-10-27 11:23:00,2024-11-12 11:23:00
INV0000119,MER000053,CUS000145,INV-2024-000119,3951,INR,2024-07-19,Partially Paid,2024-06-23 05:05:00,2024-07-12 05:05:00
INV0000120,MER000031,CUS000128,INV-2024-000120,19380,INR,2024-09-09,Paid,2024-08-25 14:40:00,2024-08-25 14:40:00
INV0000121,MER000060,CUS000231,INV-2024-000121,9956,INR,2024-06-28,Cancelled,2024-06-10 02:28:00,
INV0000122,MER000039,CUS000164,INV-2024-000122,230962,INR,2024-09-29,Paid,2024-09-13 14:54:00,2024-09-25 14:54:00
INV0000123,MER000062,CUS000028,INV-2024-000123,6882,INR,2025-08-27,Paid,2025-08-11 09:44:00,2025-08-23 09:44:00
INV0000124,MER000036,CUS000003,INV-2024-000124,1804,INR,2025-09-28,Pending,2025-09-12 23:31:00,
INV0000125,MER000030,CUS000156,INV-2024-000125,24353,INR,2025-10-28,Paid,2025-10-13 06:39:00,2025-10-17 06:39:00
INV0000126,MER000013,CUS000232,INV-2024-000126,1646,INR,2024-12-07,Paid,2024-11-12 14:02:00,2024-11-16 14:02:00
INV0000127,MER000012,CUS000233,INV-2024-000127,7808,INR,2024-07-22,Partially Paid,2024-06-28 06:08:00,2024-07-09 06:08:00
INV0000128,MER000068,CUS000129,INV-2024-000128,20784,INR,2024-10-06,Pending,2024-09-20 15:51:00,
INV0000129,MER000044,CUS000206,INV-2024-000129,177,INR,2024-06-21,Pending,2024-05-24 07:55:00,
INV0000130,MER000051,CUS000248,INV-2024-000130,46525,INR,2025-01-28,Paid,2025-01-09 02:50:00,2025-01-26 02:50:00
INV0000131,MER000016,CUS000117,INV-2024-000131,5296,INR,2025-09-17,Overdue,2025-08-21 12:52:00,
INV0000132,MER000014,CUS000173,INV-2024-000132,1411,INR,2025-10-22,Paid,2025-09-26 17:20:00,2025-09-28 17:20:00
INV0000133,MER000060,CUS000233,INV-2024-000133,36759,INR,2024-05-07,Paid,2024-04-29 04:02:00,2024-05-06 04:02:00
INV0000134,MER000015,CUS000025,INV-2024-000134,9808,INR,2024-06-05,Paid,2024-05-18 12:29:00,2024-06-04 12:29:00
INV0000135,MER000054,CUS000151,INV-2024-000135,20127,INR,2025-03-22,Paid,2025-02-28 20:06:00,2025-03-08 20:06:00
INV0000136,MER000005,CUS000177,INV-2024-000136,8265,INR,2025-04-18,Paid,2025-03-31 07:54:00,2025-04-11 07:54:00
INV0000137,MER000070,CUS000231,INV-2024-000137,144025,INR,2024-03-16,Overdue,2024-03-03 12:17:00,
INV0000138,MER000059,CUS000024,INV-2024-000138,1350,INR,2024-03-03,Pending,2024-02-21 10:15:00,
INV0000139,MER000027,CUS000018,INV-2024-000139,46321,INR,2024-08-14,Paid,2024-07-31 18:13:00,2024-08-02 18:13:00
INV0000140,MER000001,CUS000071,INV-2024-000140,19483,INR,2024-05-25,Paid,2024-05-13 17:16:00,2024-05-13 17:16:00
INV0000141,MER000017,CUS000004,INV-2024-000141,4899,INR,2025-09-06,Paid,2025-08-25 10:01:00,2025-08-27 10:01:00
INV0000142,MER000054,CUS000135,INV-2024-000142,165,INR,2025-05-20,Paid,2025-05-02 14:49:00,2025-05-05 14:49:00
INV0000143,MER000058,CUS000129,INV-2024-000143,1711,INR,2025-11-26,Paid,2025-11-05 16:19:00,2025-11-05 16:19:00
INV0000144,MER000008,CUS000123,INV-2024-000144,37937,INR,2024-05-11,Paid,2024-04-20 15:45:00,2024-04-22 15:45:00
INV0000145,MER000042,CUS000156,INV-2024-000145,229,INR,2024-11-02,Paid,2024-10-08 19:40:00,2024-10-18 19:40:00
INV0000146,MER000049,CUS000153,INV-2024-000146,8434,INR,2025-06-11,Pending,2025-06-01 19:27:00,
INV0000147,MER000015,CUS000219,INV-2024-000147,4523,INR,2025-03-30,Paid,2025-03-16 14:56:00,2025-03-29 14:56:00
INV0000148,MER000059,CUS000103,INV-2024-000148,2558,INR,2024-12-14,Paid,2024-11-16 13:20:00,2024-11-20 13:20:00
INV0000149,MER000061,CUS000018,INV-2024-000149,187,INR,2024-05-05,Pending,2024-04-05 13:06:00,
INV0000150,MER000017,CUS000143,INV-2024-000150,675,INR,2025-08-08,Paid,2025-07-29 10:42:00,2025-08-08 10:42:00
INV0000151,MER000055,CUS000223,INV-2024-000151,13372,INR,2024-11-08,Paid,2024-10-21 19:19:00,2024-11-06 19:19:00
INV0000152,MER000028,CUS000040,INV-2024-000152,4675,INR,2024-05-14,Paid,2024-04-20 11:54:00,2024-05-14 11:54:00
INV0000153,MER000036,CUS000147,INV-2024-000153,8031,INR,2025-08-25,Paid,2025-07-28 19:39:00,2025-07-28 19:39:00
INV0000154,MER000035,CUS000008,INV-2024-000154,819,INR,2024-11-19,Paid,2024-11-12 10:22:00,2024-11-14 10:22:00
INV0000155,MER000052,CUS000018,INV-2024-000155,748,INR,2024-02-24,Paid,2024-02-01 02:47:00,2024-02-14 02:47:00
INV0000156,MER000059,CUS000088,INV-2024-000156,419,INR,2024-12-07,Partially Paid,2024-11-28 18:38:00,2024-11-30 18:38:00
INV0000157,MER000021,CUS000194,INV-2024-000157,2337,INR,2024-10-25,Paid,2024-10-05 14:42:00,2024-10-19 14:42:00
INV0000158,MER000054,CUS000070,INV-2024-000158,9395,INR,2024-05-06,Paid,2024-04-26 11:27:00,2024-05-06 11:27:00
INV0000159,MER000063,CUS000135,INV-2024-000159,1745,INR,2024-08-21,Paid,2024-08-13 12:38:00,2024-08-17 12:38:00
INV0000160,MER000028,CUS000197,INV-2024-000160,361,INR,2024-10-30,Paid,2024-10-23 10:07:00,2024-10-29 10:07:00
INV0000161,MER000023,CUS000034,INV-2024-000161,4771,INR,2025-06-24,Pending,2025-05-27 17:53:00,
INV0000162,MER000010,CUS000102,INV-2024-000162,12773,INR,2025-03-31,Partially Paid,2025-03-22 00:29:00,2025-03-31 00:29:00
INV0000163,MER000055,CUS000147,INV-2024-000163,7844,INR,2024-10-30,Overdue,2024-10-23 03:25:00,
INV0000164,MER000022,CUS000206,INV-2024-000164,40153,INR,2025-01-15,Paid,2025-01-05 02:27:00,2025-01-14 02:27:00
INV0000165,MER000052,CUS000135,INV-2024-000165,991,INR,2024-11-27,Paid,2024-11-13 23:21:00,2024-11-15 23:21:00
INV0000166,MER000010,CUS000131,INV-2024-000166,9694,INR,2025-06-24,Paid,2025-06-06 06:57:00,2025-06-10 06:57:00
INV0000167,MER000031,CUS000027,INV-2024-000167,302,INR,2024-07-23,Paid,2024-06-26 19:09:00,2024-07-20 19:09:00
INV0000168,MER000064,CUS000119,INV-2024-000168,47977,INR,2025-04-29,Paid,2025-04-04 21:59:00,2025-04-23 21:59:00
INV0000169,MER000042,CUS000222,INV-2024-000169,132874,INR,2024-06-25,Paid,2024-06-03 14:04:00,2024-06-12 14:04:00
INV0000170,MER000036,CUS000152,INV-2024-000170,619,INR,2024-04-06,Paid,2024-03-16 09:29:00,2024-03-27 09:29:00
INV0000171,MER000037,CUS000020,INV-2024-000171,2480,INR,2025-10-10,Paid,2025-09-21 19:32:00,2025-10-08 19:32:00
INV0000172,MER000006,CUS000116,INV-2024-000172,47465,INR,2025-11-24,Paid,2025-10-29 06:20:00,2025-11-02 06:20:00
INV0000173,MER000008,CUS000116,INV-2024-000173,957,INR,2025-01-09,Paid,2024-12-17 22:05:00,2024-12-18 22:05:00
INV0000174,MER000032,CUS000182,INV-2024-000174,8200,INR,2025-07-02,Paid,2025-06-20 16:39:00,2025-06-24 16:39:00
INV0000175,MER000050,CUS000105,INV-2024-000175,49184,INR,2024-03-11,Paid,2024-02-23 20:41:00,2024-02-26 20:41:00
INV0000176,MER000050,CUS000073,INV-2024-000176,3464,INR,2025-01-04,Paid,2024-12-07 02:37:00,2024-12-18 02:37:00
INV0000177,MER000040,CUS000248,INV-2024-000177,7422,INR,2024-05-21,Paid,2024-05-12 19:45:00,2024-05-18 19:45:00
INV0000178,MER000043,CUS000209,INV-2024-000178,819,INR,2025-07-21,Paid,2025-06-23 02:41:00,2025-07-04 02:41:00
INV0000179,MER000003,CUS000093,INV-2024-000179,4510,INR,2024-12-29,Cancelled,2024-12-15 15:12:00,
INV0000180,MER000020,CUS000020,INV-2024-000180,2658,INR,2025-07-03,Partially Paid,2025-06-03 17:53:00,2025-06-04 17:53:00
INV0000181,MER000044,CUS000225,INV-2024-000181,18589,INR,2025-09-15,Paid,2025-09-03 12:09:00,2025-09-14 12:09:00
INV0000182,MER000022,CUS000185,INV-2024-000182,7732,INR,2025-01-22,Overdue,2025-01-08 21:46:00,
INV0000183,MER000037,CUS000193,INV-2024-000183,39421,INR,2024-09-12,Overdue,2024-08-27 17:15:00,
INV0000184,MER000061,CUS000232,INV-2024-000184,34107,INR,2025-12-16,Pending,2025-11-25 18:28:00,
INV0000185,MER000049,CUS000129,INV-2024-000185,3656,INR,2024-08-07,Paid,2024-07-23 19:08:00,2024-08-07 19:08:00
INV0000186,MER000048,CUS000142,INV-2024-000186,43811,INR,2024-05-19,Paid,2024-05-07 09:05:00,2024-05-15 09:05:00
INV0000187,MER000019,CUS000213,INV-2024-000187,4638,INR,2025-04-13,Paid,2025-04-06 11:59:00,2025-04-12 11:59:00
INV0000188,MER000065,CUS000096,INV-2024-000188,2338,INR,2025-02-04,Overdue,2025-01-18 07:01:00,
INV0000189,MER000043,CUS000203,INV-2024-000189,139,INR,2024-10-31,Pending,2024-10-20 15:44:00,
INV0000190,MER000061,CUS000115,INV-2024-000190,2299,INR,2024-01-31,Paid,2024-01-20 08:13:00,2024-01-31 08:13:00
INV0000191,MER000068,CUS000109,INV-2024-000191,395,INR,2024-09-08,Paid,2024-08-31 09:07:00,2024-09-07 09:07:00
INV0000192,MER000009,CUS000029,INV-2024-000192,42757,INR,2025-09-30,Paid,2025-09-03 17:01:00,2025-09-10 17:01:00
INV0000193,MER000019,CUS000075,INV-2024-000193,6781,INR,2024-09-15,Paid,2024-09-03 18:26:00,2024-09-04 18:26:00
INV0000194,MER000068,CUS000250,INV-2024-000194,9619,INR,2025-08-03,Paid,2025-07-11 16:50:00,2025-07-23 16:50:00
INV0000195,MER000061,CUS000012,INV-2024-000195,7117,INR,2024-10-04,Pending,2024-09-16 23:01:00,
INV0000196,MER000045,CUS000062,INV-2024-000196,16794,INR,2025-09-04,Paid,2025-08-18 23:48:00,2025-08-29 23:48:00
INV0000197,MER000070,CUS000087,INV-2024-000197,21475,INR,2025-05-17,Paid,2025-04-20 22:30:00,2025-04-24 22:30:00
INV0000198,MER000009,CUS000184,INV-2024-000198,39995,INR,2024-02-15,Pending,2024-02-07 09:12:00,
INV0000199,MER000006,CUS000081,INV-2024-000199,43777,INR,2025-02-26,Paid,2025-02-11 17:30:00,2025-02-17 17:30:00
INV0000200,MER000037,CUS000092,INV-2024-000200,13133,INR,2025-11-12,Pending,2025-11-02 10:17:00,
INV0000201,MER000056,CUS000228,INV-2024-000201,8205,INR,2025-02-21,Paid,2025-01-30 10:11:00,2025-02-10 10:11:00
INV0000202,MER000067,CUS000069,INV-2024-000202,37821,INR,2024-04-02,Paid,2024-03-21 13:38:00,2024-03-26 13:38:00
INV0000203,MER000014,CUS000021,INV-2024-000203,5844,INR,2024-12-08,Paid,2024-11-09 14:38:00,2024-12-01 14:38:00
INV0000204,MER000057,CUS000090,INV-2024-000204,6777,INR,2025-10-18,Cancelled,2025-09-21 13:17:00,
INV0000205,MER000008,CUS000020,INV-2024-000205,7656,INR,2025-02-06,Paid,2025-01-07 16:51:00,2025-02-06 16:51:00
INV0000206,MER000004,CUS000037,INV-2024-000206,38717,INR,2024-02-19,Pending,2024-02-05 04:04:00,
INV0000207,MER000047,CUS000093,INV-2024-000207,1531,INR,2025-10-02,Overdue,2025-09-11 04:43:00,
INV0000208,MER000048,CUS000114,INV-2024-000208,47613,INR,2024-06-08,Paid,2024-05-20 16:23:00,2024-05-28 16:23:00
